Sohu PE Ratio Historical Data,Sohu PE Ratio Historical Data,Sohu PE Ratio Historical Data,Sohu PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.88,,0.0
2024-12-31,13.18,$-3.13,0.0
2024-09-30,15.75,$-2.81,0.0
2024-06-30,13.92,$-1.66,0.0
2024-03-31,10.57,$-1.12,0.0
2023-12-31,9.93,$-0.89,0.0
2023-09-30,9.42,$-0.73,0.0
2023-06-30,11.02,$-1.99,0.0
2023-03-31,14.73,$-1.12,0.0
2022-12-31,13.71,$-0.52,0.0
2022-09-30,16.07,$-0.22,0.0
2022-06-30,16.57,$21.47,0.77
2022-03-31,16.82,$22.25,0.76
2021-12-31,16.28,$23.42,0.7
2021-09-30,20.84,$24.43,0.85
2021-06-30,18.6,$2.62,7.1
2021-03-31,15.72,$-0.45,0.0
2020-12-31,15.94,$-2.21,0.0
2020-09-30,19.86,$-3.76,0.0
2020-06-30,9.21,$-3.60,0.0
2020-03-31,6.23,$-2.91,0.0
2019-12-31,11.18,$-3.83,0.0
2019-09-30,10.16,$-3.01,0.0
2019-06-30,14.0,$-3.31,0.0
2019-03-31,16.58,$-3.19,0.0
2018-12-31,17.42,$-4.14,0.0
2018-09-30,19.88,$-12.08,0.0
2018-06-30,35.5,$-13.86,0.0
2018-03-31,30.92,$-14.91,0.0
2017-12-31,43.35,$-14.29,0.0
2017-09-30,54.45,$-8.43,0.0
2017-06-30,45.06,$-7.70,0.0
2017-03-31,39.33,$-7.06,0.0
2016-12-31,33.89,$-5.82,0.0
2016-09-30,44.25,$-4.91,0.0
2016-06-30,37.86,$-1.97,0.0
2016-03-31,49.54,$-1.04,0.0
2015-12-31,57.19,$-1.32,0.0
2015-09-30,41.3,$-1.04,0.0
2015-06-30,59.09,$-2.78,0.0
2015-03-31,53.33,$-3.23,0.0
2014-12-31,53.18,$-4.47,0.0
2014-09-30,50.23,$-3.89,0.0
2014-06-30,57.69,$-4.84,0.0
2014-03-31,65.09,$-3.12,0.0
2013-12-31,72.93,$-0.47,0.0
2013-09-30,78.83,$0.07,1126.14
2013-06-30,61.62,$2.39,25.78
2013-03-31,49.61,$2.11,23.51
2012-12-31,47.34,$2.04,23.21
2012-09-30,42.09,$2.09,20.14
2012-06-30,44.64,$2.67,16.72
2012-03-31,55.17,$3.49,15.81
2011-12-31,50.0,$3.97,12.59
2011-09-30,48.2,$4.39,10.98
2011-06-30,72.27,$4.25,17.0
2011-03-31,89.36,$3.97,22.51
2010-12-31,63.49,$3.69,17.21
2010-09-30,57.62,$3.38,17.05
2010-06-30,41.09,$3.19,12.88
2010-03-31,54.6,$3.16,17.28
2009-12-31,57.28,$3.58,16.0
