Kimball Electronics PE Ratio Historical Data,Kimball Electronics PE Ratio Historical Data,Kimball Electronics PE Ratio Historical Data,Kimball Electronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.04,,53.25
2024-12-31,18.73,$0.32,58.53
2024-09-30,18.51,$0.51,36.29
2024-06-30,21.98,$0.82,26.8
2024-03-31,21.65,$1.28,16.91
2023-12-31,26.95,$2.17,12.42
2023-09-30,27.38,$2.27,12.06
2023-06-30,27.63,$2.22,12.45
2023-03-31,24.1,$1.86,12.96
2022-12-31,22.59,$1.75,12.91
2022-09-30,17.15,$1.52,11.28
2022-06-30,20.1,$1.24,16.21
2022-03-31,19.99,$1.41,14.18
2021-12-31,21.76,$1.28,17.0
2021-09-30,25.77,$1.68,15.34
2021-06-30,21.74,$2.24,9.71
2021-03-31,25.8,$1.62,15.93
2020-12-31,15.99,$1.46,10.95
2020-09-30,11.56,$1.12,10.32
2020-06-30,13.54,$0.72,18.81
2020-03-31,10.92,$1.06,10.3
2019-12-31,17.55,$1.27,13.82
2019-09-30,14.51,$1.28,11.34
2019-06-30,16.24,$1.21,13.42
2019-03-31,15.49,$1.14,13.59
2018-12-31,15.49,$1.08,14.34
2018-09-30,19.65,$0.50,39.3
2018-06-30,18.3,$0.62,29.52
2018-03-31,16.15,$0.70,23.07
2017-12-31,18.25,$0.60,30.42
2017-09-30,21.65,$1.19,18.19
2017-06-30,18.05,$1.24,14.56
2017-03-31,16.95,$1.14,14.87
2016-12-31,18.2,$1.10,16.55
2016-09-30,13.86,$0.98,14.14
2016-06-30,12.45,$0.77,16.17
2016-03-31,11.17,$0.82,13.62
2015-12-31,10.99,$0.81,13.57
2015-09-30,11.93,$0.86,13.87
