Perma-Pipe Holdings PE Ratio Historical Data,Perma-Pipe Holdings PE Ratio Historical Data,Perma-Pipe Holdings PE Ratio Historical Data,Perma-Pipe Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.06,,7.14
2024-10-31,12.99,$1.97,6.59
2024-07-31,9.49,$1.90,4.99
2024-04-30,8.6,$1.63,5.28
2024-01-31,8.03,$1.31,6.13
2023-10-31,6.72,$0.62,10.84
2023-07-31,8.15,$0.59,13.81
2023-04-30,10.93,$0.69,15.84
2023-01-31,10.15,$0.72,14.1
2022-10-31,9.78,$0.69,14.17
2022-07-31,9.23,$0.54,17.09
2022-04-30,12.16,$0.72,16.89
2022-01-31,8.85,$0.73,12.12
2021-10-31,8.55,$0.06,142.5
2021-07-31,6.89,$-0.35,0.0
2021-04-30,6.48,$-0.73,0.0
2021-01-31,6.09,$-0.94,0.0
2020-10-31,5.54,$-0.45,0.0
2020-07-31,5.91,$-0.12,0.0
2020-04-30,5.7,$0.31,18.39
2020-01-31,9.03,$0.43,21.0
2019-10-31,8.98,$0.37,24.27
2019-07-31,8.85,$0.37,23.92
2019-04-30,8.96,$-0.13,0.0
2019-01-31,8.74,$-0.08,0.0
2018-10-31,9.14,$-0.39,0.0
2018-07-31,9.05,$-0.80,0.0
2018-04-30,9.1,$-0.98,0.0
2018-01-31,9.05,$-1.30,0.0
