Pluri PE Ratio Historical Data,Pluri PE Ratio Historical Data,Pluri PE Ratio Historical Data,Pluri PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.45,,0.0
2024-12-31,4.28,$-5.60,0.0
2024-09-30,6.05,$-6.03,0.0
2024-06-30,5.78,$-5.91,0.0
2024-03-31,6.45,$-4.13,0.0
2023-12-31,4.64,$-4.64,0.0
2023-09-30,4.8,$-5.60,0.0
2023-06-30,6.42,$-6.16,0.0
2023-03-31,8.16,$-7.20,0.0
2022-12-31,7.52,$-8.16,0.0
2022-09-30,6.24,$-8.96,0.0
2022-06-30,9.84,$-10.32,0.0
2022-03-31,16.56,$-11.76,0.0
2021-12-31,11.68,$-13.12,0.0
2021-09-30,21.2,$-14.32,0.0
2021-06-30,31.68,$-11.44,0.0
2021-03-31,38.16,$-7.76,0.0
2020-12-31,56.56,$-3.92,0.0
2020-09-30,84.24,0,0.0
2020-06-30,70.72,0,0.0
2020-03-31,29.36,0,0.0
2019-12-31,31.52,$-7.20,0.0
2019-09-30,29.92,$-12.80,0.0
2019-06-30,49.66,$-19.20,0.0
2019-03-31,77.6,$-26.40,0.0
2018-12-31,63.05,$-20.00,0.0
2018-09-30,104.0,$-20.80,0.0
2018-06-30,97.6,$-20.80,0.0
2018-03-31,109.6,$-19.20,0.0
2017-12-31,110.4,$-25.60,0.0
2017-09-30,120.8,$-25.60,0.0
2017-06-30,102.4,$-25.60,0.0
2017-03-31,98.4,$-26.40,0.0
2016-12-31,114.4,$-26.40,0.0
2016-09-30,128.0,$-24.00,0.0
2016-06-30,106.4,$-23.20,0.0
2016-03-31,128.8,$-22.40,0.0
2015-12-31,90.4,$-23.20,0.0
2015-09-30,145.6,$-26.40,0.0
2015-06-30,201.6,$-28.00,0.0
2015-03-31,224.0,$-29.60,0.0
2014-12-31,200.0,$-32.80,0.0
2014-09-30,228.8,$-34.40,0.0
2014-06-30,249.6,$-33.60,0.0
2014-03-31,296.0,$-36.00,0.0
2013-12-31,281.6,$-32.80,0.0
2013-09-30,270.39,$-30.40,0.0
2013-06-30,244.8,$-30.40,0.0
2013-03-31,245.6,$-28.00,0.0
2012-12-31,255.2,$-27.20,0.0
2012-09-30,315.2,$-24.80,0.0
2012-06-30,192.0,$-27.20,0.0
2012-03-31,184.8,$-27.20,0.0
2011-12-31,199.2,$-25.60,0.0
2011-09-30,173.61,$-30.40,0.0
2011-06-30,232.0,$-28.00,0.0
2011-03-31,206.8,$-20.80,0.0
2010-12-31,114.4,$-25.60,0.0
2010-09-30,119.19,$-25.60,0.0
2010-06-30,92.0,$-28.00,0.0
2010-03-31,88.79,$-28.00,0.0
2009-12-31,92.8,$-31.20,0.0
