Wingstop PE Ratio Historical Data,Wingstop PE Ratio Historical Data,Wingstop PE Ratio Historical Data,Wingstop PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,220.19,,59.35
2024-12-31,284.2,$3.71,76.6
2024-09-30,415.73,$3.43,121.2
2024-06-30,422.01,$3.20,131.88
2024-03-31,365.63,$2.81,130.12
2023-12-31,255.89,$2.35,108.89
2023-09-30,179.18,$2.30,77.9
2023-06-30,199.16,$2.10,94.84
2023-03-31,182.49,$2.00,91.25
2022-12-31,136.65,$1.77,77.2
2022-09-30,124.39,$1.41,88.22
2022-06-30,74.05,$1.34,55.26
2022-03-31,115.95,$1.28,90.59
2021-12-31,164.65,$1.43,115.14
2021-09-30,156.04,$0.99,157.62
2021-06-30,149.9,$0.95,157.79
2021-03-31,120.8,$0.96,125.83
2020-12-31,125.77,$0.79,159.2
2020-09-30,124.69,$1.10,113.36
2020-06-30,126.7,$0.96,131.98
2020-03-31,72.6,$0.74,98.11
2019-12-31,78.44,$0.69,113.68
2019-09-30,79.29,$0.67,118.34
2019-06-30,85.98,$0.68,126.45
2019-03-31,68.93,$0.74,93.14
2018-12-31,58.19,$0.73,79.72
2018-09-30,58.94,$1.01,58.36
2018-06-30,44.94,$0.97,46.33
2018-03-31,40.67,$0.92,44.2
2017-12-31,31.26,$0.93,33.61
2017-09-30,26.62,$0.72,36.97
2017-06-30,24.68,$0.64,38.56
2017-03-31,22.59,$0.60,37.65
2016-12-31,23.63,$0.53,44.59
2016-09-30,23.4,$0.51,45.89
2016-06-30,19.56,$0.53,36.9
2016-03-31,16.28,$0.41,39.7
