B.O.S Better Online Solutions PE Ratio Historical Data,B.O.S Better Online Solutions PE Ratio Historical Data,B.O.S Better Online Solutions PE Ratio Historical Data,B.O.S Better Online Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.85,,9.87
2024-09-30,2.95,$0.39,7.56
2024-06-30,2.81,$0.34,8.26
2024-03-31,3.05,$0.36,8.47
2023-12-31,2.64,$0.34,7.76
2023-09-30,3.59,$0.36,9.97
2023-06-30,3.37,$0.36,9.35
2023-03-31,2.67,$0.28,9.55
2022-12-31,2.09,$0.23,9.08
2022-09-30,2.21,$0.16,13.81
2022-06-30,2.19,$0.13,16.85
2022-03-31,3.02,$0.13,23.23
2021-12-31,2.94,$0.09,32.61
2021-09-30,3.5,$0.13,26.92
2021-06-30,3.84,$0.15,25.6
2021-03-31,3.62,$-0.22,0.0
2020-12-31,2.27,$-0.23,0.0
2020-09-30,2.43,$-0.37,0.0
2020-06-30,2.91,$-0.59,0.0
2020-03-31,1.78,$-0.25,0.0
2019-12-31,1.99,$-0.22,0.0
2019-09-30,2.3,$-0.03,0.0
2019-06-30,2.84,$0.21,13.51
2019-03-31,2.91,$0.26,11.19
2018-12-31,2.17,$0.28,7.75
2018-09-30,2.44,$0.27,9.05
2018-06-30,2.31,$0.25,9.24
2018-03-31,2.23,$0.25,8.92
2017-12-31,2.19,$0.24,9.12
2017-09-30,1.83,$0.22,8.32
2017-06-30,1.78,$0.10,17.8
2017-03-31,2.15,$0.10,21.5
2016-12-31,2.12,$0.14,15.14
2016-09-30,2.25,$0.16,14.06
2016-06-30,3.02,$0.30,10.07
2016-03-31,2.03,$0.27,7.52
2015-12-31,1.95,$0.17,11.47
2015-09-30,2.31,$-0.15,0.0
2015-06-30,2.59,$-0.20,0.0
2015-03-31,2.07,$-0.28,0.0
2014-12-31,3.16,$-0.26,0.0
2014-09-30,4.23,$0.00,0.0
2014-06-30,3.97,$0.18,22.05
2014-03-31,6.56,$0.19,34.53
2013-12-31,7.75,$0.00,0.0
2013-09-30,3.68,$-0.01,0.0
2013-06-30,2.76,$-0.24,0.0
2013-03-31,3.2,$-0.39,0.0
2012-12-31,4.51,$-0.49,0.0
2012-09-30,2.16,$-3.36,0.0
2012-06-30,3.2,$-4.52,0.0
2012-03-31,4.0,$-4.80,0.0
2011-12-31,4.0,$-4.48,0.0
2011-09-30,4.44,$-2.60,0.0
2011-06-30,9.76,$-1.40,0.0
2011-03-31,10.72,$-0.76,0.0
2010-12-31,6.6,$-0.96,0.0
2010-09-30,11.56,$-1.00,0.0
2010-06-30,3.88,$-5.20,0.0
2010-03-31,5.52,$-9.16,0.0
2009-12-31,5.64,$-10.20,0.0
