SLM PE Ratio Historical Data,SLM PE Ratio Historical Data,SLM PE Ratio Historical Data,SLM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.87,,11.27
2024-12-31,27.58,$2.65,10.41
2024-09-30,22.76,$2.87,7.93
2024-06-30,20.58,$3.21,6.41
2024-03-31,21.46,$3.20,6.7
2023-12-31,18.73,$2.40,7.8
2023-09-30,13.25,$1.35,9.81
2023-06-30,15.75,$1.53,10.3
2023-03-31,11.87,$1.72,6.9
2022-12-31,15.78,$1.70,9.29
2022-09-30,13.22,$3.07,4.31
2022-06-30,14.95,$3.02,4.95
2022-03-31,17.12,$2.17,7.89
2021-12-31,18.24,$3.47,5.26
2021-09-30,16.22,$3.56,4.56
2021-06-30,19.27,$3.77,5.11
2021-03-31,16.51,$3.10,5.33
2020-12-31,11.36,$2.22,5.12
2020-09-30,7.4,$1.41,5.25
2020-06-30,6.4,$1.25,5.12
2020-03-31,6.53,$1.82,3.59
2019-12-31,8.06,$1.30,6.2
2019-09-30,7.96,$1.31,6.08
2019-06-30,8.74,$1.25,6.99
2019-03-31,8.88,$1.15,7.72
2018-12-31,7.43,$1.08,6.88
2018-09-30,9.96,$0.85,11.72
2018-06-30,10.23,$0.79,12.95
2018-03-31,10.02,$0.70,14.31
2017-12-31,10.1,$0.62,16.29
2017-09-30,10.25,$0.67,15.3
2017-06-30,10.28,$0.62,16.58
2017-03-31,10.81,$0.59,18.33
2016-12-31,9.85,$0.53,18.58
2016-09-30,6.68,$0.58,11.51
2016-06-30,5.52,$0.55,10.04
2016-03-31,5.68,$0.63,9.02
2015-12-31,5.83,$0.59,9.88
2015-09-30,6.61,$0.42,15.75
2015-06-30,8.82,$0.51,17.3
2015-03-31,8.29,$0.40,20.73
2014-12-31,9.11,$0.94,9.69
2014-09-30,7.65,$1.51,5.07
2014-06-30,7.43,$1.90,3.91
2014-03-31,7.82,$3.01,2.6
2013-12-31,8.34,$3.11,2.68
2013-09-30,7.86,$3.25,2.42
2013-06-30,7.17,$3.07,2.34
2013-03-31,6.39,$2.46,2.6
2012-12-31,5.3,$1.93,2.75
2012-09-30,4.83,$2.18,2.21
2012-06-30,4.78,$1.69,2.83
2012-03-31,4.76,$1.08,4.4
2011-12-31,4.01,$1.19,3.37
2011-09-30,3.7,$1.04,3.56
2011-06-30,4.96,$0.08,61.99
2011-03-31,4.49,$0.73,6.15
2010-12-31,3.69,$0.86,4.29
2010-09-30,3.39,$0.54,6.27
2010-06-30,3.05,$1.85,1.65
2010-03-31,3.67,$0.90,4.08
2009-12-31,3.31,$0.35,9.44
