American Resources PE Ratio Historical Data,American Resources PE Ratio Historical Data,American Resources PE Ratio Historical Data,American Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.44,,0.0
2024-09-30,0.91,$-0.39,0.0
2024-06-30,0.73,$-0.21,0.0
2024-03-31,1.41,$-0.13,0.0
2023-12-31,1.49,$-0.14,0.0
2023-09-30,1.67,$0.14,11.93
2023-06-30,1.96,$0.01,196.0
2023-03-31,1.5,$-0.02,0.0
2022-12-31,1.32,$-0.02,0.0
2022-09-30,2.67,$-0.34,0.0
2022-06-30,1.45,$-0.41,0.0
2022-03-31,2.57,$-0.50,0.0
2021-12-31,1.8,$-0.60,0.0
2021-09-30,1.9,$-0.70,0.0
2021-06-30,2.55,$-0.55,0.0
2021-03-31,3.8,$-0.37,0.0
2020-12-31,1.95,$-0.35,0.0
2020-09-30,1.5,$-1.67,0.0
2020-06-30,1.18,$-1.97,0.0
2020-03-31,1.04,$-2.40,0.0
2019-12-31,0.63,$-2.76,0.0
