Suburban Propane Partners PE Ratio Historical Data,Suburban Propane Partners PE Ratio Historical Data,Suburban Propane Partners PE Ratio Historical Data,Suburban Propane Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.04,,19.85
2024-12-31,17.2,$1.06,16.23
2024-09-30,17.63,$1.14,15.46
2024-06-30,18.31,$1.50,12.21
2024-03-31,19.38,$1.69,11.47
2023-12-31,16.58,$1.59,10.43
2023-09-30,14.71,$1.92,7.66
2023-06-30,13.27,$1.39,9.55
2023-03-31,13.45,$1.43,9.41
2022-12-31,13.06,$2.55,5.12
2022-09-30,12.69,$2.18,5.82
2022-06-30,12.62,$2.78,4.54
2022-03-31,13.06,$2.41,5.42
2021-12-31,11.63,$1.69,6.88
2021-09-30,11.94,$1.96,6.09
2021-06-30,11.69,$1.56,7.49
2021-03-31,11.07,$1.72,6.44
2020-12-31,10.9,$0.93,11.72
2020-09-30,11.72,$0.96,12.21
2020-06-30,10.06,$0.80,12.58
2020-03-31,9.54,$0.58,16.45
2019-12-31,14.35,$1.29,11.13
2019-09-30,15.14,$1.10,13.76
2019-06-30,15.17,$1.09,13.91
2019-03-31,13.63,$1.29,10.57
2018-12-31,11.42,$1.08,10.57
2018-09-30,13.58,$1.23,11.04
2018-06-30,13.2,$1.23,10.74
2018-03-31,12.05,$1.02,11.81
2017-12-31,12.95,$0.65,19.92
2017-09-30,13.62,$0.61,22.33
2017-06-30,11.99,$0.45,26.64
2017-03-31,13.13,$0.44,29.85
2016-12-31,14.24,$0.59,24.13
2016-09-30,15.35,$0.23,66.75
2016-06-30,15.01,$0.11,136.44
2016-03-31,13.05,$-0.07,0.0
2015-12-31,10.26,$0.66,15.54
2015-09-30,13.52,$1.38,9.8
2015-06-30,16.03,$1.59,10.08
2015-03-31,16.93,$1.28,13.22
2014-12-31,16.7,$1.50,11.13
2014-09-30,16.87,$1.55,10.89
2014-06-30,17.08,$1.40,12.2
2014-03-31,15.12,$1.61,9.39
2013-12-31,16.74,$1.43,11.71
2013-09-30,16.4,$1.50,10.93
2013-06-30,15.97,$1.26,12.68
2013-03-31,15.03,$1.77,8.49
2012-12-31,12.85,$0.87,14.77
2012-09-30,13.39,$0.48,27.9
2012-06-30,13.1,$1.16,11.29
2012-03-31,13.38,$1.23,10.88
2011-12-31,14.54,$2.66,5.47
2011-09-30,13.92,$3.22,4.32
2011-06-30,15.39,$3.13,4.92
2011-03-31,16.37,$3.13,5.23
2010-12-31,16.03,$3.08,5.2
2010-09-30,15.31,$3.23,4.74
2010-06-30,12.95,$3.26,3.97
2010-03-31,12.91,$3.22,4.01
2009-12-31,12.57,$3.94,3.19
