MGIC Investment PE Ratio Historical Data,MGIC Investment PE Ratio Historical Data,MGIC Investment PE Ratio Historical Data,MGIC Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.71,,8.18
2024-12-31,23.71,$2.90,8.18
2024-09-30,25.47,$2.84,8.97
2024-06-30,21.32,$2.71,7.87
2024-03-31,22.0,$2.60,8.46
2023-12-31,18.87,$2.49,7.58
2023-09-30,16.22,$2.47,6.57
2023-06-30,15.24,$2.64,5.77
2023-03-31,12.87,$2.78,4.63
2022-12-31,12.38,$2.79,4.44
2022-09-30,12.11,$2.67,4.54
2022-06-30,11.83,$2.32,5.1
2022-03-31,12.64,$1.96,6.45
2021-12-31,13.38,$1.85,7.23
2021-09-30,13.81,$1.77,7.8
2021-06-30,12.49,$1.69,7.39
2021-03-31,12.66,$1.29,9.82
2020-12-31,11.42,$1.28,8.92
2020-09-30,8.02,$1.33,6.03
2020-06-30,7.36,$1.44,5.11
2020-03-31,5.66,$1.86,3.04
2019-12-31,12.58,$1.86,6.76
2019-09-30,11.12,$1.80,6.18
2019-06-30,11.56,$1.80,6.42
2019-03-31,11.6,$1.83,6.34
2018-12-31,9.2,$1.79,5.14
2018-09-30,11.71,$1.43,8.19
2018-06-30,9.43,$1.26,7.49
2018-03-31,11.44,$1.08,10.59
2017-12-31,12.41,$0.94,13.21
2017-09-30,11.02,$1.15,9.59
2017-06-30,9.85,$0.97,10.16
2017-03-31,8.91,$0.92,9.69
2016-12-31,8.97,$0.85,10.55
2016-09-30,7.04,$0.81,8.69
2016-06-30,5.23,$2.45,2.14
2016-03-31,6.75,$2.47,2.73
2015-12-31,7.77,$2.62,2.97
2015-09-30,8.15,$2.57,3.17
2015-06-30,10.01,$0.97,10.32
2015-03-31,8.47,$0.81,10.46
2014-12-31,8.2,$0.64,12.81
2014-09-30,6.87,$0.45,15.27
2014-06-30,8.13,$0.31,26.22
2014-03-31,7.5,$0.23,32.59
2013-12-31,7.43,$-0.23,0.0
2013-09-30,6.4,$-2.14,0.0
2013-06-30,5.34,$-3.40,0.0
2013-03-31,4.35,$-4.80,0.0
2012-12-31,2.34,$-4.59,0.0
2012-09-30,1.35,$-3.35,0.0
2012-06-30,2.53,$-2.95,0.0
2012-03-31,4.36,$-2.34,0.0
2011-12-31,3.28,$-2.41,0.0
2011-09-30,1.65,$-2.67,0.0
2011-06-30,5.23,$-2.11,0.0
2011-03-31,7.82,$-1.23,0.0
2010-12-31,8.97,$-2.26,0.0
2010-09-30,8.12,$-3.58,0.0
2010-06-30,6.06,$-7.49,0.0
2010-03-31,9.65,$-10.36,0.0
2009-12-31,5.09,$-10.65,0.0
