Steel Partners Holdings LP PE Ratio Historical Data,Steel Partners Holdings LP PE Ratio Historical Data,Steel Partners Holdings LP PE Ratio Historical Data,Steel Partners Holdings LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.47,,5.18
2024-12-31,42.56,$8.00,5.32
2024-09-30,40.95,$9.75,4.2
2024-06-30,37.23,$9.24,4.03
2024-03-31,39.65,$6.83,5.81
2023-12-31,40.0,$6.42,6.23
2023-09-30,42.52,$7.49,5.68
2023-06-30,47.5,$7.80,6.09
2023-03-31,43.89,$8.88,4.94
2022-12-31,42.8,$7.99,5.36
2022-09-30,41.5,$6.42,6.46
2022-06-30,41.98,$5.89,7.13
2022-03-31,41.56,$3.40,12.22
2021-12-31,42.0,$4.80,8.75
2021-09-30,28.43,$6.07,4.68
2021-06-30,29.12,$5.94,4.9
2021-03-31,13.75,$4.84,2.84
2020-12-31,10.75,$0.77,13.96
2020-09-30,6.17,$-2.95,0.0
2020-06-30,5.27,$-3.86,0.0
2020-03-31,5.42,$-3.18,0.0
2019-12-31,12.1,$-0.23,0.0
2019-09-30,12.41,$-0.22,0.0
2019-06-30,13.58,$-0.33,0.0
2019-03-31,13.41,$-0.52,0.0
2018-12-31,13.0,$-1.35,0.0
2018-09-30,16.2,$-0.71,0.0
2018-06-30,16.34,$-0.21,0.0
2018-03-31,17.36,$-0.22,0.0
2017-12-31,18.96,$-0.03,0.0
2017-09-30,17.8,$-0.07,0.0
2017-06-30,18.04,$0.07,257.69
2017-03-31,18.62,$0.01,1862.01
2016-12-31,15.03,$0.24,62.63
2016-09-30,13.78,$3.07,4.49
2016-06-30,14.08,$2.22,6.34
2016-03-31,14.65,$2.25,6.51
2015-12-31,15.73,$4.98,3.16
2015-09-30,15.88,$2.06,7.71
2015-06-30,16.88,$3.00,5.63
2015-03-31,18.24,$2.96,6.16
2014-12-31,16.96,$-0.25,0.0
2014-09-30,15.95,$1.42,11.24
2014-06-30,16.03,$0.40,40.08
2014-03-31,16.3,$0.59,27.63
2013-12-31,16.67,$0.60,27.78
2013-09-30,14.43,$-0.33,0.0
2013-06-30,13.14,$0.30,43.8
2013-03-31,13.08,$-0.56,0.0
