Polaris PE Ratio Historical Data,Polaris PE Ratio Historical Data,Polaris PE Ratio Historical Data,Polaris PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,42.14,,21.5
2024-12-31,57.62,$1.96,29.4
2024-09-30,82.44,$3.58,23.03
2024-06-30,76.94,$5.71,13.47
2024-03-31,98.37,$6.82,14.42
2023-12-31,92.45,$8.70,10.63
2023-09-30,100.8,$10.23,9.85
2023-06-30,116.38,$10.71,10.87
2023-03-31,105.83,$8.31,12.73
2022-12-31,96.07,$7.50,12.81
2022-09-30,90.47,$5.56,16.27
2022-06-30,93.37,$4.30,21.72
2022-03-31,98.46,$6.90,14.27
2021-12-31,102.22,$7.87,12.99
2021-09-30,110.66,$9.62,11.5
2021-06-30,126.0,$10.44,12.07
2021-03-31,122.23,$4.10,29.81
2020-12-31,86.77,$1.90,45.67
2020-09-30,85.36,$0.33,258.68
2020-06-30,83.23,$-0.91,0.0
2020-03-31,43.02,$4.33,9.94
2019-12-31,90.2,$5.20,17.35
2019-09-30,77.57,$5.09,15.24
2019-06-30,79.81,$5.17,15.44
2019-03-31,73.31,$5.18,14.15
2018-12-31,66.1,$5.25,12.59
2018-09-30,86.49,$4.27,20.26
2018-06-30,104.1,$4.05,25.7
2018-03-31,97.06,$3.59,27.04
2017-12-31,104.53,$2.69,38.86
2017-09-30,87.81,$3.17,27.7
2017-06-30,76.92,$2.39,32.18
2017-03-31,69.41,$2.51,27.65
2016-12-31,67.79,$3.27,20.73
2016-09-30,63.32,$3.96,15.99
2016-06-30,66.44,$5.76,11.53
2016-03-31,79.52,$6.16,12.91
2015-12-31,68.99,$6.75,10.22
2015-09-30,95.73,$7.07,13.54
2015-06-30,117.81,$6.83,17.25
2015-03-31,111.83,$6.76,16.54
2014-12-31,119.46,$6.65,17.96
2014-09-30,117.95,$6.23,18.93
2014-06-30,102.22,$5.76,17.75
2014-03-31,109.25,$5.47,19.97
2013-12-31,113.48,$5.35,21.21
2013-09-30,100.34,$5.03,19.95
2013-06-30,73.51,$4.77,15.41
2013-03-31,71.25,$4.62,15.42
2012-12-31,64.52,$4.40,14.66
2012-09-30,61.73,$4.06,15.2
2012-06-30,54.3,$3.68,14.76
2012-03-31,54.55,$3.39,16.11
2011-12-31,42.09,$3.21,13.13
2011-09-30,37.43,$3.08,12.15
2011-06-30,41.48,$2.82,14.74
2011-03-31,32.33,$2.51,12.91
2010-12-31,28.81,$2.13,13.53
2010-09-30,23.91,$2.01,11.89
2010-06-30,19.92,$1.80,11.1
2010-03-31,18.54,$1.69,11.0
2009-12-31,15.67,$1.52,10.31
