Milestone Scientific PE Ratio Historical Data,Milestone Scientific PE Ratio Historical Data,Milestone Scientific PE Ratio Historical Data,Milestone Scientific PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.97,,0.0
2024-09-30,0.91,$-0.07,0.0
2024-06-30,0.68,$-0.07,0.0
2024-03-31,0.62,$-0.10,0.0
2023-12-31,0.69,$-0.10,0.0
2023-09-30,0.92,$-0.09,0.0
2023-06-30,0.87,$-0.10,0.0
2023-03-31,0.9,$-0.11,0.0
2022-12-31,0.48,$-0.12,0.0
2022-09-30,0.79,$-0.12,0.0
2022-06-30,0.92,$-0.12,0.0
2022-03-31,1.52,$-0.12,0.0
2021-12-31,2.06,$-0.10,0.0
2021-09-30,1.87,$-0.09,0.0
2021-06-30,2.45,$-0.08,0.0
2021-03-31,3.57,$-0.10,0.0
2020-12-31,2.12,$-0.12,0.0
2020-09-30,1.39,$-0.16,0.0
2020-06-30,1.95,$-0.20,0.0
2020-03-31,1.25,$-0.16,0.0
2019-12-31,1.39,$-0.15,0.0
2019-09-30,0.83,$-0.09,0.0
2019-06-30,0.36,$-0.15,0.0
2019-03-31,0.33,$-0.17,0.0
2018-12-31,0.33,$-0.21,0.0
2018-09-30,0.74,$-0.27,0.0
2018-06-30,0.79,$-0.19,0.0
2018-03-31,0.72,$-0.20,0.0
2017-12-31,1.18,$-0.16,0.0
2017-09-30,1.25,$-0.17,0.0
2017-06-30,1.5,$-0.18,0.0
2017-03-31,1.35,$-0.19,0.0
2016-12-31,1.4,$-0.20,0.0
2016-09-30,2.16,$-0.21,0.0
2016-06-30,2.8,$-0.23,0.0
2016-03-31,1.55,$-0.26,0.0
2015-12-31,2.35,$-0.25,0.0
2015-09-30,3.07,$-0.24,0.0
2015-06-30,3.4,$-0.19,0.0
2015-03-31,3.0,$-0.11,0.0
2014-12-31,2.3,$-0.08,0.0
2014-09-30,1.85,$-0.02,0.0
2014-06-30,1.9,$0.01,190.0
2014-03-31,1.6,$0.02,80.0
2013-12-31,1.7,$0.02,85.0
2013-09-30,1.35,0,0.0
2013-06-30,1.35,$-0.01,0.0
2013-03-31,1.02,$-0.02,0.0
2012-12-31,1.45,$-0.05,0.0
2012-09-30,0.52,$-0.06,0.0
2012-06-30,0.37,$-0.10,0.0
2012-03-31,0.4,$-0.11,0.0
2011-12-31,0.36,$-0.10,0.0
2011-09-30,0.69,$-0.09,0.0
2011-06-30,0.78,$-0.09,0.0
2011-03-31,0.7,$-0.06,0.0
2010-12-31,1.02,$-0.04,0.0
2010-09-30,1.12,$-0.01,0.0
2010-06-30,1.2,$0.00,0.0
2010-03-31,1.8,$-0.06,0.0
2009-12-31,1.85,$-0.12,0.0
