ArcelorMittal PE Ratio Historical Data,ArcelorMittal PE Ratio Historical Data,ArcelorMittal PE Ratio Historical Data,ArcelorMittal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,32.0,,19.39
2024-12-31,23.13,$1.65,14.02
2024-09-30,25.99,$-1.41,0.0
2024-06-30,22.7,$-0.68,0.0
2024-03-31,27.04,$0.89,30.39
2023-12-31,27.84,$1.00,27.84
2023-09-30,24.3,$4.87,4.99
2023-06-30,26.54,$4.88,5.44
2023-03-31,29.0,$6.92,4.19
2022-12-31,25.25,$9.92,2.54
2022-09-30,19.17,$13.54,1.42
2022-06-30,21.76,$16.59,1.31
2022-03-31,30.4,$15.81,1.92
2021-12-31,30.23,$13.47,2.24
2021-09-30,28.64,$10.55,2.71
2021-06-30,29.49,$6.18,4.77
2021-03-31,27.45,$2.22,12.36
2020-12-31,21.55,$-0.82,0.0
2020-09-30,12.47,$-3.68,0.0
2020-06-30,10.1,$-4.00,0.0
2020-03-31,8.78,$-3.94,0.0
2019-12-31,16.5,$-2.42,0.0
2019-09-30,13.4,$0.61,21.97
2019-06-30,16.97,$2.02,8.4
2019-03-31,18.95,$4.29,4.42
2018-12-31,19.22,$5.05,3.81
2018-09-30,28.7,$4.89,5.87
2018-06-30,26.76,$5.19,5.16
2018-03-31,29.5,$4.65,6.34
2017-12-31,29.96,$4.47,6.7
2017-09-30,23.89,$3.85,6.2
2017-06-30,21.08,$3.33,6.33
2017-03-31,23.23,$3.18,7.3
2016-12-31,20.31,$1.50,13.54
2016-09-30,16.8,$-10.05,0.0
2016-06-30,12.96,$-11.91,0.0
2016-03-31,12.74,$-12.75,0.0
2015-12-31,11.74,$-13.29,0.0
2015-09-30,14.33,$-3.72,0.0
2015-06-30,27.04,$-2.49,0.0
2015-03-31,25.71,$-2.70,0.0
2014-12-31,30.1,$-1.80,0.0
2014-09-30,37.36,$-2.28,0.0
2014-06-30,40.74,$-2.67,0.0
2014-03-31,43.52,$-4.08,0.0
2013-12-31,48.08,$-4.38,0.0
2013-09-30,36.84,$-10.05,0.0
2013-06-30,30.18,$-11.07,0.0
2013-03-31,34.59,$-8.07,0.0
2012-12-31,46.37,$-7.41,0.0
2012-09-30,37.85,$-1.62,0.0
2012-06-30,39.56,$0.33,119.83
2012-03-31,48.93,$1.44,33.97
2011-12-31,46.11,$3.48,13.25
2011-09-30,39.91,$3.90,10.23
2011-06-30,86.36,$5.97,14.46
2011-03-31,89.3,$5.43,16.44
2010-12-31,93.73,$4.41,21.25
2010-09-30,80.62,$8.04,10.03
2010-06-30,65.01,$7.20,9.03
2010-03-31,106.02,$3.24,32.72
2009-12-31,109.94,$-0.15,0.0
