TransAct Technologies PE Ratio Historical Data,TransAct Technologies PE Ratio Historical Data,TransAct Technologies PE Ratio Historical Data,TransAct Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.89,,0.0
2024-09-30,4.86,$-0.20,0.0
2024-06-30,3.77,$-0.05,0.0
2024-03-31,5.24,$0.06,87.33
2023-12-31,6.98,$0.47,14.85
2023-09-30,6.42,$0.51,12.59
2023-06-30,8.96,$0.47,19.06
2023-03-31,6.19,$0.15,41.27
2022-12-31,6.32,$-0.57,0.0
2022-09-30,3.65,$-0.67,0.0
2022-06-30,3.98,$-0.63,0.0
2022-03-31,7.06,$-0.63,0.0
2021-12-31,10.9,$-0.47,0.0
2021-09-30,13.9,$-0.62,0.0
2021-06-30,13.73,$-0.82,0.0
2021-03-31,10.87,$-0.83,0.0
2020-12-31,7.1,$-0.71,0.0
2020-09-30,5.0,$-0.60,0.0
2020-06-30,4.58,$-0.44,0.0
2020-03-31,3.11,$-0.17,0.0
2019-12-31,10.97,$0.06,182.83
2019-09-30,12.05,$0.29,41.56
2019-06-30,11.09,$0.57,19.45
2019-03-31,8.91,$0.71,12.55
2018-12-31,8.68,$0.70,12.4
2018-09-30,13.81,$0.52,26.55
2018-06-30,11.91,$0.43,27.71
2018-03-31,12.34,$0.39,31.63
2017-12-31,12.45,$0.43,28.95
2017-09-30,9.1,$0.67,13.59
2017-06-30,7.82,$0.55,14.21
2017-03-31,7.41,$0.53,13.98
2016-12-31,5.97,$0.48,12.44
2016-09-30,6.69,$0.37,18.08
2016-06-30,7.09,$0.38,18.67
2016-03-31,7.12,$0.46,15.49
2015-12-31,7.43,$0.40,18.59
2015-09-30,7.77,$0.25,31.08
2015-06-30,5.67,$0.13,43.62
2015-03-31,4.96,$-0.03,0.0
2014-12-31,4.53,0,0.0
2014-09-30,5.51,$0.21,26.22
2014-06-30,8.37,$0.37,22.63
2014-03-31,9.21,$0.49,18.8
2013-12-31,9.99,$0.57,17.52
2013-09-30,10.38,$0.65,15.97
2013-06-30,6.43,$0.48,13.39
2013-03-31,6.19,$0.40,15.48
2012-12-31,5.59,$0.40,13.97
2012-09-30,5.72,$0.25,22.89
2012-06-30,5.92,$0.34,17.42
2012-03-31,6.03,$0.43,14.02
2011-12-31,5.58,$0.49,11.38
2011-09-30,6.23,$0.54,11.54
2011-06-30,8.99,$0.56,16.05
2011-03-31,9.13,$0.53,17.23
2010-12-31,7.24,$0.41,17.65
2010-09-30,6.14,$0.32,19.2
2010-06-30,5.61,$0.34,16.49
2010-03-31,5.65,$0.29,19.47
2009-12-31,5.33,$0.23,23.18
