Materialise PE Ratio Historical Data,Materialise PE Ratio Historical Data,Materialise PE Ratio Historical Data,Materialise PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.11,,26.89
2024-09-30,5.48,$0.19,28.84
2024-06-30,5.01,$0.20,25.05
2024-03-31,5.28,$0.12,44.0
2023-12-31,6.57,$0.12,54.71
2023-09-30,5.49,$0.05,109.8
2023-06-30,8.64,$0.00,0.0
2023-03-31,8.3,$0.03,276.67
2022-12-31,8.8,$-0.04,0.0
2022-09-30,10.71,$0.13,82.38
2022-06-30,13.62,$0.28,48.64
2022-03-31,19.35,$0.33,58.64
2021-12-31,23.87,$0.25,95.48
2021-09-30,20.1,$0.11,182.73
2021-06-30,24.09,$-0.07,0.0
2021-03-31,35.95,$-0.18,0.0
2020-12-31,54.21,$-0.16,0.0
2020-09-30,36.91,$-0.08,0.0
2020-06-30,22.56,$-0.05,0.0
2020-03-31,18.57,$-0.02,0.0
2019-12-31,18.31,$0.03,610.33
2019-09-30,18.48,$0.01,1848.0
2019-06-30,19.52,$0.04,488.0
2019-03-31,15.74,$0.06,262.33
2018-12-31,20.03,$0.07,286.14
2018-09-30,13.8,$0.10,138.0
2018-06-30,12.98,$0.01,1298.0
2018-03-31,11.69,$-0.02,0.0
2017-12-31,12.71,$-0.04,0.0
2017-09-30,14.56,$-0.07,0.0
2017-06-30,11.87,$-0.03,0.0
2017-03-31,9.1,$-0.02,0.0
2016-12-31,7.68,$-0.08,0.0
2016-09-30,7.7,$-0.04,0.0
2016-06-30,7.15,$-0.07,0.0
2016-03-31,7.6,$-0.13,0.0
2015-12-31,7.06,$-0.07,0.0
2015-09-30,7.69,$-0.13,0.0
2015-06-30,9.1,$-0.03,0.0
2015-03-31,6.99,$0.03,233.0
