Beasley Broadcast PE Ratio Historical Data,Beasley Broadcast PE Ratio Historical Data,Beasley Broadcast PE Ratio Historical Data,Beasley Broadcast PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.09,,3.65
2024-09-30,10.77,$1.67,6.45
2024-06-30,13.15,$-41.00,0.0
2024-03-31,15.6,$-47.80,0.0
2023-12-31,17.56,$-50.20,0.0
2023-09-30,17.43,$-71.80,0.0
2023-06-30,20.4,$-26.40,0.0
2023-03-31,16.4,$-29.00,0.0
2022-12-31,18.41,$-29.20,0.0
2022-09-30,21.6,$-4.60,0.0
2022-06-30,25.6,$-6.20,0.0
2022-03-31,35.2,$3.60,9.78
2021-12-31,38.0,$-1.00,0.0
2021-09-30,53.4,$-0.60,0.0
2021-06-30,57.8,$-1.00,0.0
2021-03-31,56.6,$-13.80,0.0
2020-12-31,29.8,$-13.00,0.0
2020-09-30,24.8,$-17.20,0.0
2020-06-30,48.6,$-13.40,0.0
2020-03-31,37.2,$2.20,16.91
2019-12-31,60.25,$9.60,6.28
2019-09-30,59.49,$7.80,7.63
2019-06-30,60.8,$7.60,8.0
2019-03-31,73.96,$8.20,9.02
2018-12-31,68.82,$5.00,13.76
2018-09-30,124.85,$53.40,2.34
2018-06-30,201.2,$55.80,3.61
2018-03-31,202.12,$55.00,3.67
2017-12-31,238.61,$62.60,3.81
2017-09-30,207.65,$44.00,4.72
2017-06-30,173.28,$41.00,4.23
2017-03-31,204.19,$40.40,5.05
2016-12-31,107.88,$36.60,2.95
2016-09-30,101.05,$8.00,12.63
2016-06-30,72.71,$6.00,12.12
2016-03-31,60.04,$6.00,10.01
2015-12-31,60.63,$5.60,10.83
2015-09-30,67.46,$32.20,2.1
2015-06-30,76.41,$35.00,2.18
2015-03-31,82.01,$35.40,2.32
2014-12-31,82.74,$34.80,2.38
2014-09-30,86.06,$8.60,10.01
2014-06-30,101.1,$9.20,10.99
2014-03-31,143.7,$8.60,16.71
2013-12-31,137.16,$10.20,13.45
2013-09-30,135.84,$10.20,13.32
2013-06-30,131.0,$8.40,15.59
2013-03-31,92.23,$9.80,9.41
2012-12-31,76.44,$9.80,7.8
2012-09-30,75.02,$9.60,7.81
2012-06-30,90.54,$10.60,8.54
2012-03-31,66.14,$9.60,6.89
2011-12-31,48.42,$8.80,5.5
2011-09-30,58.42,$8.80,6.64
2011-06-30,64.72,$8.60,7.53
2011-03-31,112.83,$8.00,14.1
2010-12-31,92.08,$7.00,13.15
2010-09-30,81.32,$5.20,15.64
2010-06-30,74.86,$4.60,16.27
2010-03-31,63.8,$3.40,18.76
2009-12-31,54.88,$3.00,18.29
