Acushnet PE Ratio Historical Data,Acushnet PE Ratio Historical Data,Acushnet PE Ratio Historical Data,Acushnet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,66.28,,19.9
2024-12-31,71.08,$3.33,21.35
2024-09-30,63.57,$2.94,21.62
2024-06-30,63.09,$2.90,21.75
2024-03-31,65.54,$2.88,22.76
2023-12-31,62.57,$2.89,21.65
2023-09-30,52.36,$3.30,15.87
2023-06-30,53.8,$3.17,16.97
2023-03-31,49.9,$2.99,16.69
2022-12-31,41.44,$2.73,15.18
2022-09-30,42.28,$2.37,17.84
2022-06-30,40.37,$2.17,18.6
2022-03-31,38.83,$2.34,16.59
2021-12-31,50.97,$2.37,21.51
2021-09-30,44.71,$3.02,14.81
2021-06-30,47.14,$3.34,14.11
2021-03-31,39.32,$2.29,17.17
2020-12-31,38.42,$1.28,30.01
2020-09-30,31.72,$1.23,25.79
2020-06-30,32.69,$0.78,41.91
2020-03-31,24.06,$1.26,19.1
2019-12-31,30.21,$1.60,18.88
2019-09-30,24.42,$1.51,16.18
2019-06-30,24.17,$1.21,19.97
2019-03-31,21.17,$1.23,17.21
2018-12-31,19.17,$1.33,14.41
2018-09-30,24.95,$1.34,18.62
2018-06-30,22.14,$1.37,16.16
2018-03-31,20.79,$1.28,16.24
2017-12-31,18.88,$1.23,15.35
2017-09-30,15.81,$1.05,15.06
