Vivid Seats PE Ratio Historical Data,Vivid Seats PE Ratio Historical Data,Vivid Seats PE Ratio Historical Data,Vivid Seats PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.01,,43.0
2024-12-31,4.63,$0.07,66.14
2024-09-30,3.7,$0.07,52.86
2024-06-30,5.75,$0.10,57.5
2024-03-31,5.99,$0.31,19.32
2023-12-31,6.32,$0.42,15.05
2023-09-30,6.42,$0.55,11.67
2023-06-30,7.92,$0.57,13.89
2023-03-31,7.63,$0.49,15.57
2022-12-31,7.3,$0.36,20.28
2022-09-30,7.66,$0.23,33.3
2022-06-30,7.47,$-43.91,0.0
2022-03-31,11.06,$-44.03,0.0
2021-12-31,10.88,$-44.05,0.0
2021-09-30,9.98,$-44.05,0.0
