Shattuck Labs PE Ratio Historical Data,Shattuck Labs PE Ratio Historical Data,Shattuck Labs PE Ratio Historical Data,Shattuck Labs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.16,,0.0
2024-09-30,3.49,$-1.53,0.0
2024-06-30,3.86,$-1.85,0.0
2024-03-31,8.94,$-1.93,0.0
2023-12-31,7.13,$-2.05,0.0
2023-09-30,1.52,$-2.24,0.0
2023-06-30,3.12,$-2.17,0.0
2023-03-31,2.94,$-2.32,0.0
2022-12-31,2.3,$-2.41,0.0
2022-09-30,2.7,$-1.63,0.0
2022-06-30,4.06,$-1.46,0.0
2022-03-31,4.26,$-1.37,0.0
2021-12-31,8.51,$-1.07,0.0
2021-09-30,20.38,$-1.56,0.0
