Transcontinental Realty Investors PE Ratio Historical Data,Transcontinental Realty Investors PE Ratio Historical Data,Transcontinental Realty Investors PE Ratio Historical Data,Transcontinental Realty Investors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.9,,75.41
2024-09-30,28.79,$0.37,77.81
2024-06-30,27.73,$0.69,40.19
2024-03-31,37.65,$0.58,64.91
2023-12-31,34.56,$0.69,50.09
2023-09-30,30.62,$7.81,3.92
2023-06-30,36.63,$51.08,0.72
2023-03-31,42.39,$52.93,0.8
2022-12-31,44.18,$54.20,0.82
2022-09-30,40.35,$46.37,0.87
2022-06-30,39.79,$5.62,7.08
2022-03-31,39.03,$0.15,260.2
2021-12-31,39.1,$1.09,35.87
2021-09-30,40.0,$1.93,20.73
2021-06-30,33.77,$-0.23,0.0
2021-03-31,21.52,$2.85,7.55
2020-12-31,24.11,$0.76,31.72
2020-09-30,24.93,$0.10,249.3
2020-06-30,30.02,$-1.67,0.0
2020-03-31,20.51,$-1.92,0.0
2019-12-31,39.88,$-3.09,0.0
2019-09-30,31.05,$15.18,2.05
2019-06-30,25.63,$18.59,1.38
2019-03-31,31.24,$20.13,1.55
2018-12-31,28.32,$20.72,1.37
2018-09-30,31.89,$2.40,13.29
2018-06-30,33.45,$0.67,49.93
2018-03-31,40.61,$-1.36,0.0
2017-12-31,31.32,$-1.92,0.0
2017-09-30,27.2,$-0.67,0.0
2017-06-30,26.89,$-2.01,0.0
2017-03-31,19.27,$-0.28,0.0
2016-12-31,12.02,$-0.10,0.0
2016-09-30,11.65,$-0.64,0.0
2016-06-30,9.96,$-0.88,0.0
2016-03-31,9.91,$-1.40,0.0
2015-12-31,10.3,$-0.99,0.0
2015-09-30,12.86,$-0.82,0.0
2015-06-30,11.35,$-0.32,0.0
2015-03-31,11.15,$-0.06,0.0
2014-12-31,10.3,$0.45,22.89
2014-09-30,10.0,$6.73,1.49
2014-06-30,14.24,$6.28,2.27
2014-03-31,14.27,$7.43,1.92
2013-12-31,9.44,$6.53,1.45
2013-09-30,8.92,$-0.51,0.0
2013-06-30,8.9,$0.16,55.63
2013-03-31,5.37,$-1.03,0.0
2012-12-31,4.34,$-1.15,0.0
2012-09-30,5.5,$-0.39,0.0
2012-06-30,2.79,$-0.45,0.0
2012-03-31,2.41,$-5.54,0.0
2011-12-31,1.64,$-6.50,0.0
2011-09-30,2.47,$-9.93,0.0
2011-06-30,2.19,$-10.94,0.0
2011-03-31,3.55,$-8.61,0.0
2010-12-31,6.71,$-8.42,0.0
2010-09-30,8.99,$-8.19,0.0
2010-06-30,9.23,$-8.46,0.0
2010-03-31,12.52,$-9.89,0.0
2009-12-31,11.91,$-9.95,0.0
