STERIS PE Ratio Historical Data,STERIS PE Ratio Historical Data,STERIS PE Ratio Historical Data,STERIS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,225.47,,47.87
2024-12-31,205.56,$4.71,43.64
2024-09-30,241.89,$4.38,55.23
2024-06-30,218.43,$4.03,54.2
2024-03-31,223.17,$3.82,58.42
2023-12-31,217.76,$5.71,38.14
2023-09-30,216.77,$5.53,39.2
2023-06-30,221.74,$1.22,181.76
2023-03-31,188.1,$1.07,175.8
2022-12-31,181.17,$-0.29,0.0
2022-09-30,162.68,$-0.11,0.0
2022-06-30,201.21,$3.73,53.94
2022-03-31,235.49,$2.39,98.53
2021-12-31,236.65,$2.89,81.88
2021-09-30,198.23,$2.80,70.8
2021-06-30,199.8,$3.34,59.82
2021-03-31,184.09,$4.61,39.93
2020-12-31,182.76,$5.03,36.33
2020-09-30,169.53,$4.93,34.39
2020-06-30,147.26,$4.81,30.62
2020-03-31,134.0,$4.77,28.09
2019-12-31,145.6,$4.60,31.65
2019-09-30,137.69,$3.93,35.03
2019-06-30,141.51,$3.73,37.94
2019-03-31,121.4,$3.56,34.1
2018-12-31,101.03,$3.15,32.07
2018-09-30,107.85,$3.70,29.15
2018-06-30,98.7,$3.54,27.88
2018-03-31,87.49,$3.40,25.73
2017-12-31,81.7,$2.85,28.67
2017-09-30,82.28,$1.68,48.98
2017-06-30,75.58,$1.40,53.99
2017-03-31,64.19,$1.28,50.15
2016-12-31,62.03,$1.64,37.82
2016-09-30,67.0,$1.96,34.19
2016-06-30,62.77,$1.63,38.51
2016-03-31,64.64,$1.47,43.97
2015-12-31,68.27,$1.49,45.82
2015-09-30,58.88,$1.86,31.65
2015-06-30,58.4,$2.24,26.07
2015-03-31,63.68,$2.25,28.3
2014-12-31,58.77,$2.21,26.59
2014-09-30,48.9,$2.06,23.74
2014-06-30,48.46,$2.04,23.76
2014-03-31,43.27,$2.17,19.94
2013-12-31,43.54,$2.22,19.61
2013-09-30,38.75,$2.56,15.14
2013-06-30,38.49,$2.74,14.05
2013-03-31,37.19,$2.72,13.67
2012-12-31,30.89,$2.78,11.11
2012-09-30,31.37,$2.54,12.35
2012-06-30,27.59,$2.36,11.69
2012-03-31,27.65,$2.32,11.92
2011-12-31,25.94,$2.21,11.74
2011-09-30,25.3,$1.99,12.72
2011-06-30,30.06,$2.08,14.45
2011-03-31,29.55,$0.84,35.18
2010-12-31,31.06,$0.69,45.02
2010-09-30,28.18,$1.02,27.63
2010-06-30,26.23,$0.97,27.04
2010-03-31,28.31,$2.16,13.11
2009-12-31,23.44,$2.13,11.0
