Prelude Therapeutics PE Ratio Historical Data,Prelude Therapeutics PE Ratio Historical Data,Prelude Therapeutics PE Ratio Historical Data,Prelude Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.74,,0.0
2024-12-31,1.28,$-1.31,0.0
2024-09-30,2.07,$-1.78,0.0
2024-06-30,3.81,$-1.80,0.0
2024-03-31,4.74,$-1.88,0.0
2023-12-31,4.27,$-2.04,0.0
2023-09-30,3.09,$-2.17,0.0
2023-06-30,4.5,$-2.35,0.0
2023-03-31,5.7,$-2.39,0.0
2022-12-31,6.04,$-2.44,0.0
2022-09-30,6.61,$-2.55,0.0
2022-06-30,5.22,$-2.58,0.0
2022-03-31,6.9,$-2.58,0.0
2021-12-31,12.45,$-2.42,0.0
2021-09-30,31.25,$-2.16,0.0
2021-06-30,28.63,$-6.75,0.0
