SBA Communications PE Ratio Historical Data,SBA Communications PE Ratio Historical Data,SBA Communications PE Ratio Historical Data,SBA Communications PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,220.97,,31.84
2024-12-31,203.8,$6.94,29.37
2024-09-30,239.63,$6.34,37.8
2024-06-30,194.55,$4.74,41.04
2024-03-31,213.69,$5.10,41.9
2023-12-31,249.05,$4.61,54.02
2023-09-30,195.8,$4.54,43.13
2023-06-30,225.83,$4.65,48.57
2023-03-31,253.42,$3.42,74.1
2022-12-31,271.15,$4.21,64.41
2022-09-30,274.69,$3.71,74.04
2022-06-30,308.19,$3.23,95.41
2022-03-31,330.6,$3.96,83.49
2021-12-31,372.95,$2.13,175.09
2021-09-30,316.39,$2.63,120.3
2021-06-30,304.52,$2.40,126.88
2021-03-31,264.67,$1.23,215.18
2020-12-31,268.41,$0.20,1342.05
2020-09-30,302.52,$-0.15,0.0
2020-06-30,282.56,$-0.16,0.0
2020-03-31,255.66,$-0.08,0.0
2019-12-31,227.81,$1.29,176.6
2019-09-30,227.61,$1.20,189.68
2019-06-30,211.92,$1.15,184.28
2019-03-31,188.19,$0.37,508.62
2018-12-31,152.59,$0.41,372.17
2018-09-30,151.4,$-0.03,0.0
2018-06-30,155.63,$0.24,648.47
2018-03-31,161.1,$0.82,196.46
2017-12-31,153.97,$0.86,179.04
2017-09-30,135.77,$0.84,161.64
2017-06-30,127.15,$0.31,410.16
2017-03-31,113.45,$0.49,231.54
2016-12-31,97.33,$0.61,159.55
2016-09-30,105.72,$0.81,130.51
2016-06-30,101.74,$-0.30,0.0
2016-03-31,94.42,$-0.34,0.0
2015-12-31,99.03,$-1.38,0.0
2015-09-30,98.6,$-1.62,0.0
2015-06-30,108.36,$-0.52,0.0
2015-03-31,110.37,$-0.81,0.0
2014-12-31,104.4,$-0.19,0.0
2014-09-30,104.53,$-0.34,0.0
2014-06-30,96.42,$-0.05,0.0
2014-03-31,85.73,$-0.26,0.0
2013-12-31,84.68,$-0.45,0.0
2013-09-30,75.84,$-0.71,0.0
2013-06-30,69.86,$-1.30,0.0
2013-03-31,67.86,$-1.46,0.0
2012-12-31,66.9,$-1.48,0.0
2012-09-30,59.29,$-1.34,0.0
2012-06-30,53.77,$-1.21,0.0
2012-03-31,47.89,$-1.04,0.0
2011-12-31,40.49,$-1.14,0.0
2011-09-30,32.5,$-1.21,0.0
2011-06-30,36.0,$-1.21,0.0
2011-03-31,37.4,$-1.66,0.0
2010-12-31,38.59,$-1.68,0.0
2010-09-30,37.98,$-1.71,0.0
2010-06-30,32.06,$-1.84,0.0
2010-03-31,34.0,$-1.37,0.0
2009-12-31,32.2,$-1.20,0.0
