Ironwood Pharmaceuticals PE Ratio Historical Data,Ironwood Pharmaceuticals PE Ratio Historical Data,Ironwood Pharmaceuticals PE Ratio Historical Data,Ironwood Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.53,,inf
2024-12-31,4.43,0,0.0
2024-09-30,4.12,$-0.03,0.0
2024-06-30,6.52,$0.04,163.0
2024-03-31,8.71,$-6.79,0.0
2023-12-31,11.44,$-6.51,0.0
2023-09-30,9.63,$-6.23,0.0
2023-06-30,10.64,$-6.04,0.0
2023-03-31,10.52,$1.01,10.42
2022-12-31,12.39,$0.97,12.77
2022-09-30,10.36,$0.95,10.91
2022-06-30,11.53,$1.01,11.42
2022-03-31,12.58,$3.19,3.94
2021-12-31,11.66,$3.23,3.61
2021-09-30,13.06,$3.25,4.02
2021-06-30,12.87,$3.12,4.13
2021-03-31,11.18,$0.89,12.56
2020-12-31,11.39,$0.66,17.26
2020-09-30,9.0,$0.69,13.04
2020-06-30,10.32,$0.61,16.92
2020-03-31,10.09,$0.53,19.04
2019-12-31,13.31,$0.13,102.38
2019-09-30,8.59,$-0.27,0.0
2019-06-30,10.94,$-1.54,0.0
2019-03-31,13.53,$-1.94,0.0
2018-12-31,10.36,$-1.85,0.0
2018-09-30,18.46,$-1.67,0.0
2018-06-30,19.12,$-0.75,0.0
2018-03-31,15.43,$-0.73,0.0
2017-12-31,14.99,$-0.80,0.0
2017-09-30,15.77,$-0.97,0.0
2017-06-30,18.88,$-0.98,0.0
2017-03-31,17.06,$-0.83,0.0
2016-12-31,15.29,$-0.56,0.0
2016-09-30,15.88,$-0.56,0.0
2016-06-30,13.08,$-0.66,0.0
2016-03-31,10.94,$-0.85,0.0
2015-12-31,11.59,$-1.00,0.0
2015-09-30,10.41,$-1.18,0.0
2015-06-30,12.06,$-1.15,0.0
2015-03-31,16.0,$-1.25,0.0
2014-12-31,15.32,$-1.39,0.0
2014-09-30,12.96,$-1.55,0.0
2014-06-30,15.33,$-1.76,0.0
2014-03-31,12.32,$-1.89,0.0
2013-12-31,11.61,$-2.38,0.0
2013-09-30,11.84,$-2.36,0.0
2013-06-30,9.93,$-1.43,0.0
2013-03-31,18.29,$-1.24,0.0
2012-12-31,11.08,$-0.71,0.0
2012-09-30,12.78,$-0.37,0.0
2012-06-30,13.78,$-1.00,0.0
2012-03-31,13.31,$-0.81,0.0
2011-12-31,11.97,$-0.66,0.0
2011-09-30,10.8,$-0.71,0.0
2011-06-30,15.72,$-0.58,0.0
2011-03-31,13.98,$-0.57,0.0
2010-12-31,10.35,$-0.63,0.0
