HomeStreet PE Ratio Historical Data,HomeStreet PE Ratio Historical Data,HomeStreet PE Ratio Historical Data,HomeStreet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.96,,0.0
2024-12-31,11.42,$-7.66,0.0
2024-09-30,15.76,$-1.30,0.0
2024-06-30,11.4,$-0.79,0.0
2024-03-31,15.05,$-2.13,0.0
2023-12-31,10.3,$-1.46,0.0
2023-09-30,7.66,$-0.83,0.0
2023-06-30,5.77,$0.13,44.35
2023-03-31,17.24,$2.74,6.29
2022-12-31,26.11,$3.48,7.5
2022-09-30,26.91,$4.46,6.03
2022-06-30,32.07,$4.69,6.84
2022-03-31,43.44,$5.12,8.49
2021-12-31,47.36,$5.46,8.67
2021-09-30,37.29,$5.28,7.06
2021-06-30,36.68,$5.12,7.16
2021-03-31,39.45,$4.56,8.65
2020-12-31,30.03,$3.51,8.56
2020-09-30,22.81,$2.71,8.42
2020-06-30,21.68,$2.11,10.27
2020-03-31,19.46,$1.08,18.02
2019-12-31,29.63,$0.72,41.15
2019-09-30,23.81,$0.83,28.68
2019-06-30,25.83,$0.72,35.87
2019-03-31,22.96,$1.20,19.13
2018-12-31,18.5,$1.48,12.5
2018-09-30,23.09,$2.21,10.45
2018-06-30,23.48,$2.28,10.3
2018-03-31,24.96,$2.43,10.27
2017-12-31,25.23,$2.54,9.93
2017-09-30,23.53,$1.34,17.56
2017-06-30,24.11,$1.94,12.43
2017-03-31,24.35,$2.40,10.15
2016-12-31,27.53,$2.34,11.77
2016-09-30,21.84,$2.64,8.27
2016-06-30,17.36,$1.98,8.77
2016-03-31,18.13,$1.67,10.86
2015-12-31,18.92,$1.99,9.51
2015-09-30,20.13,$1.98,10.17
2015-06-30,19.88,$1.86,10.69
2015-03-31,15.96,$1.93,8.27
2014-12-31,15.17,$1.49,10.18
2014-09-30,14.89,$1.05,14.18
2014-06-30,16.01,$0.83,19.29
2014-03-31,17.03,$1.02,16.7
2013-12-31,17.32,$1.61,10.76
2013-09-30,16.62,$3.13,5.31
2013-06-30,18.38,$4.47,4.11
2013-03-31,19.04,$4.87,3.91
2012-12-31,21.78,$5.90,3.69
