Pinnacle West Capital PE Ratio Historical Data,Pinnacle West Capital PE Ratio Historical Data,Pinnacle West Capital PE Ratio Historical Data,Pinnacle West Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,94.2,,18.05
2024-12-31,84.77,$5.22,16.24
2024-09-30,87.67,$5.28,16.61
2024-06-30,74.84,$5.41,13.83
2024-03-31,72.36,$4.59,15.77
2023-12-31,68.69,$4.41,15.58
2023-09-30,69.62,$4.20,16.58
2023-06-30,76.17,$3.58,21.28
2023-03-31,73.29,$4.09,17.92
2022-12-31,69.52,$4.27,16.28
2022-09-30,58.23,$4.72,12.34
2022-06-30,65.25,$4.84,13.48
2022-03-31,68.87,$5.30,12.99
2021-12-31,61.5,$5.47,11.24
2021-09-30,62.24,$5.06,12.3
2021-06-30,69.81,$5.13,13.61
2021-03-31,68.61,$4.93,13.92
2020-12-31,66.69,$4.88,13.67
2020-09-30,61.56,$5.62,10.95
2020-06-30,59.96,$5.32,11.27
2020-03-31,61.35,$4.89,12.55
2019-12-31,72.22,$4.78,15.11
2019-09-30,77.31,$4.44,17.41
2019-06-30,74.34,$4.47,16.63
2019-03-31,74.93,$4.67,16.05
2018-12-31,66.24,$4.54,14.59
2018-09-30,61.01,$4.50,13.56
2018-06-30,61.54,$4.16,14.79
2018-03-31,60.44,$4.17,14.49
2017-12-31,63.96,$4.35,14.7
2017-09-30,63.0,$4.63,13.61
2017-06-30,62.96,$4.52,13.93
2017-03-31,61.18,$4.11,14.89
2016-12-31,56.77,$3.94,14.41
2016-09-30,54.81,$3.84,14.27
2016-06-30,58.0,$3.79,15.3
2016-03-31,53.25,$3.81,13.98
2015-12-31,45.3,$3.91,11.59
2015-09-30,44.62,$3.59,12.43
2015-06-30,39.2,$3.49,11.23
2015-03-31,43.5,$3.58,12.15
2014-12-31,46.22,$3.58,12.91
2014-09-30,36.61,$3.75,9.76
2014-06-30,38.36,$3.59,10.69
2014-03-31,35.89,$3.58,10.02
2013-12-31,34.37,$3.66,9.39
2013-09-30,35.2,$3.64,9.67
2013-06-30,35.34,$3.81,9.28
2013-03-31,36.56,$3.74,9.77
2012-12-31,31.87,$3.44,9.26
2012-09-30,32.67,$3.35,9.75
2012-06-30,31.71,$3.46,9.16
2012-03-31,29.04,$3.14,9.25
2011-12-31,28.88,$3.08,9.38
2011-09-30,25.46,$3.04,8.37
2011-06-30,26.11,$2.86,9.13
2011-03-31,24.75,$3.14,7.88
2010-12-31,23.68,$3.22,7.35
2010-09-30,23.28,$2.85,8.17
2010-06-30,20.23,$2.55,7.93
2010-03-31,20.7,$2.16,9.58
2009-12-31,19.78,$0.67,29.53
