XWELL PE Ratio Historical Data,XWELL PE Ratio Historical Data,XWELL PE Ratio Historical Data,XWELL PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.98,,0.0
2024-09-30,1.73,$-3.64,0.0
2024-06-30,1.8,$-5.03,0.0
2024-03-31,1.69,$-5.95,0.0
2023-12-31,1.74,$-6.75,0.0
2023-09-30,2.25,$-8.18,0.0
2023-06-30,4.01,$-7.40,0.0
2023-03-31,7.22,$-7.60,0.0
2022-12-31,7.26,$-7.00,0.0
2022-09-30,15.3,$-3.40,0.0
2022-06-30,13.81,$-0.80,0.0
2022-03-31,22.6,$-0.00,0.0
2021-12-31,40.4,$0.60,67.33
2021-09-30,29.4,0,0.0
2021-06-30,30.8,$-3.00,0.0
2021-03-31,36.8,$-32.40,0.0
2020-12-31,23.8,$-67.00,0.0
2020-09-30,39.4,$-67.00,0.0
2020-06-30,83.8,$-165.81,0.0
2020-03-31,11.68,$-328.83,0.0
2019-12-31,40.49,$-390.64,0.0
2019-09-30,86.16,$-390.64,0.0
2019-06-30,116.4,$-421.84,0.0
2019-03-31,144.0,$-384.64,0.0
2018-12-31,187.2,"$-1,368.14",0.0
