Nano-X Imaging PE Ratio Historical Data,Nano-X Imaging PE Ratio Historical Data,Nano-X Imaging PE Ratio Historical Data,Nano-X Imaging PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.93,,0.0
2024-09-30,6.08,$-0.85,0.0
2024-06-30,7.34,$-0.99,0.0
2024-03-31,9.77,$-1.07,0.0
2023-12-31,6.37,$-1.07,0.0
2023-09-30,6.56,$-1.75,0.0
2023-06-30,15.49,$-1.75,0.0
2023-03-31,5.77,$-1.82,0.0
2022-12-31,7.38,$-2.02,0.0
2022-09-30,11.47,$-1.60,0.0
2022-06-30,11.3,$-1.51,0.0
2022-03-31,10.84,$-1.41,0.0
2021-12-31,14.54,$-1.27,0.0
2021-09-30,22.5,$-1.29,0.0
2021-06-30,32.05,$-1.30,0.0
