Rave Restaurant PE Ratio Historical Data,Rave Restaurant PE Ratio Historical Data,Rave Restaurant PE Ratio Historical Data,Rave Restaurant PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.77,,15.39
2024-12-31,2.58,$0.18,14.33
2024-09-30,2.03,$0.18,11.28
2024-06-30,1.98,$0.17,11.65
2024-03-31,2.19,$0.15,14.6
2023-12-31,2.23,$0.13,17.15
2023-09-30,2.37,$0.11,21.55
2023-06-30,2.02,$0.10,20.2
2023-03-31,1.44,$0.44,3.27
2022-12-31,1.58,$0.45,3.51
2022-09-30,1.4,$0.45,3.11
2022-06-30,1.09,$0.45,2.42
2022-03-31,1.07,$0.12,8.92
2021-12-31,1.01,$0.11,9.18
2021-09-30,1.31,$0.10,13.1
2021-06-30,1.48,$0.08,18.5
2021-03-31,1.42,$0.03,47.33
2020-12-31,0.91,$-0.29,0.0
2020-09-30,0.44,$-0.30,0.0
2020-06-30,0.75,$-0.29,0.0
2020-03-31,0.75,$-0.34,0.0
2019-12-31,1.65,$-0.06,0.0
2019-09-30,2.57,$-0.04,0.0
2019-06-30,3.08,$-0.04,0.0
2019-03-31,1.54,$0.01,0.0
2018-12-31,0.88,$0.00,0.0
2018-09-30,1.43,$-0.06,0.0
2018-06-30,1.38,$-0.10,0.0
2018-03-31,1.23,$-0.10,0.0
2017-12-31,1.46,$-0.25,0.0
2017-09-30,1.81,$-0.95,0.0
2017-06-30,2.01,$-1.06,0.0
2017-03-31,2.22,$-1.27,0.0
2016-12-31,1.88,$-1.21,0.0
2016-09-30,3.05,$-0.92,0.0
2016-06-30,4.0,$-0.83,0.0
2016-03-31,5.32,$-0.68,0.0
2015-12-31,6.39,$-0.61,0.0
2015-09-30,8.5,$-0.20,0.0
2015-06-30,13.05,$-0.18,0.0
2015-03-31,13.96,$-0.16,0.0
2014-12-31,7.1,$-0.16,0.0
2014-09-30,7.99,$-0.16,0.0
2014-06-30,6.23,$-0.17,0.0
2014-03-31,6.04,$-0.21,0.0
2013-12-31,8.06,$-0.21,0.0
2013-09-30,7.8,$-0.18,0.0
2013-06-30,5.73,$-0.15,0.0
2013-03-31,4.41,$-0.08,0.0
2012-12-31,3.43,$-0.02,0.0
2012-09-30,2.92,0,0.0
2012-06-30,2.73,$0.05,54.6
2012-03-31,4.82,$0.06,80.33
2011-12-31,5.5,$0.11,50.0
2011-09-30,3.38,$0.15,22.53
2011-06-30,2.98,$0.13,22.92
2011-03-31,2.01,$0.13,15.46
2010-12-31,1.95,$0.11,17.73
2010-09-30,1.89,$0.11,17.18
2010-06-30,1.85,$0.14,13.21
2010-03-31,2.05,$0.14,14.64
2009-12-31,1.6,$0.14,11.43
