Canadian National Railway PE Ratio Historical Data,Canadian National Railway PE Ratio Historical Data,Canadian National Railway PE Ratio Historical Data,Canadian National Railway PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,97.74,,19.09
2024-12-31,101.51,$5.12,19.83
2024-09-30,116.23,$6.24,18.63
2024-06-30,116.57,$6.24,18.68
2024-03-31,129.33,$6.27,20.63
2023-12-31,122.76,$6.34,19.36
2023-09-30,105.33,$5.47,19.26
2023-06-30,117.09,$5.84,20.05
2023-03-31,113.51,$6.03,18.82
2022-12-31,113.83,$5.71,19.93
2022-09-30,102.96,$5.50,18.72
2022-06-30,106.73,$5.75,18.56
2022-03-31,126.65,$5.44,23.28
2021-12-31,115.47,$5.49,21.03
2021-09-30,108.28,$5.25,20.63
2021-06-30,98.41,$4.41,22.32
2021-03-31,107.67,$3.78,28.48
2020-12-31,101.54,$3.76,27.01
2020-09-30,98.0,$3.58,27.38
2020-06-30,81.19,$3.80,21.37
2020-03-31,70.83,$4.65,15.23
2019-12-31,82.06,$4.40,18.65
2019-09-30,81.16,$4.66,17.42
2019-06-30,83.16,$4.58,18.16
2019-03-31,80.11,$4.54,17.65
2018-12-31,66.05,$4.52,14.61
2018-09-30,79.69,$6.07,13.13
2018-06-30,72.26,$5.91,12.23
2018-03-31,64.37,$5.55,11.6
2017-12-31,72.27,$5.64,12.81
2017-09-30,72.28,$3.90,18.53
2017-06-30,70.42,$3.84,18.34
2017-03-31,63.98,$3.68,17.39
2016-12-31,58.08,$3.53,16.45
2016-09-30,56.13,$3.42,16.41
2016-06-30,50.46,$3.41,14.8
2016-03-31,53.11,$3.45,15.39
2015-12-31,47.29,$3.42,13.83
2015-09-30,47.83,$3.44,13.9
2015-06-30,48.45,$3.42,14.17
2015-03-31,55.86,$3.49,16.01
2014-12-31,57.36,$3.47,16.53
2014-09-30,58.87,$3.25,18.11
2014-06-30,53.78,$3.16,17.02
2014-03-31,46.32,$3.02,15.36
2013-12-31,46.8,$2.97,15.78
2013-09-30,41.45,$2.99,13.86
2013-06-30,39.6,$2.91,13.61
2013-03-31,40.67,$2.80,14.52
2012-12-31,36.75,$3.05,12.07
2012-09-30,35.48,$3.00,11.85
2012-06-30,33.79,$2.97,11.39
2012-03-31,31.66,$2.89,10.98
2011-12-31,31.16,$2.70,11.54
2011-09-30,26.3,$2.59,10.17
2011-06-30,31.42,$2.47,12.75
2011-03-31,29.47,$2.38,12.38
2010-12-31,25.91,$2.23,11.62
2010-09-30,24.85,$2.27,10.97
2010-06-30,22.19,$2.13,10.44
2010-03-31,23.32,$1.96,11.93
2009-12-31,20.82,$1.78,11.7
