Kamada PE Ratio Historical Data,Kamada PE Ratio Historical Data,Kamada PE Ratio Historical Data,Kamada PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.65,,25.58
2024-12-31,6.09,$0.26,23.42
2024-09-30,5.37,$0.28,19.18
2024-06-30,4.96,$0.27,18.37
2024-03-31,5.61,$0.23,24.39
2023-12-31,6.12,$0.15,40.8
2023-09-30,5.34,$0.13,41.08
2023-06-30,5.28,$0.08,65.94
2023-03-31,4.65,$-0.05,0.0
2022-12-31,4.01,$-0.05,0.0
2022-09-30,4.51,$-0.23,0.0
2022-06-30,4.51,$-0.26,0.0
2022-03-31,5.52,$-0.15,0.0
2021-12-31,6.58,$-0.05,0.0
2021-09-30,5.3,$0.10,53.0
2021-06-30,5.82,$0.27,21.56
2021-03-31,6.19,$0.33,18.76
2020-12-31,6.48,$0.39,16.62
2020-09-30,8.36,$0.48,17.42
2020-06-30,7.76,$0.47,16.51
2020-03-31,5.83,$0.54,10.8
2019-12-31,6.83,$0.54,12.65
2019-09-30,5.13,$0.85,6.04
2019-06-30,5.52,$0.65,8.49
2019-03-31,5.73,$0.64,8.95
2018-12-31,5.0,$0.55,9.09
2018-09-30,6.2,$0.27,22.96
2018-06-30,5.2,$0.32,16.25
2018-03-31,4.6,$0.31,14.84
2017-12-31,4.75,$0.17,27.94
2017-09-30,4.8,$-0.04,0.0
2017-06-30,6.0,$-0.06,0.0
2017-03-31,6.8,$-0.23,0.0
2016-12-31,5.45,$-0.18,0.0
2016-09-30,5.13,$-0.10,0.0
2016-06-30,3.67,$-0.20,0.0
2016-03-31,3.83,$-0.22,0.0
2015-12-31,4.15,$-0.31,0.0
2015-09-30,3.42,$-0.29,0.0
2015-06-30,3.82,$-0.25,0.0
2015-03-31,4.42,$-0.42,0.0
2014-12-31,3.8,$-0.36,0.0
2014-09-30,4.46,$-0.37,0.0
2014-06-30,7.13,$-0.28,0.0
2014-03-31,14.5,$-0.02,0.0
