TScan Therapeutics PE Ratio Historical Data,TScan Therapeutics PE Ratio Historical Data,TScan Therapeutics PE Ratio Historical Data,TScan Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.61,,0.0
2024-12-31,3.04,$-1.15,0.0
2024-09-30,4.98,$-1.06,0.0
2024-06-30,5.85,$-1.05,0.0
2024-03-31,7.94,$-1.28,0.0
2023-12-31,5.83,$-1.89,0.0
2023-09-30,2.56,$-2.46,0.0
2023-06-30,2.5,$-2.89,0.0
2023-03-31,2.1,$-3.01,0.0
2022-12-31,1.55,$-2.75,0.0
2022-09-30,3.05,$-1.97,0.0
2022-06-30,3.15,$-2.10,0.0
