CASI Pharmaceuticals PE Ratio Historical Data,CASI Pharmaceuticals PE Ratio Historical Data,CASI Pharmaceuticals PE Ratio Historical Data,CASI Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.3,,0.0
2024-09-30,6.16,$-2.23,0.0
2024-06-30,5.5,$-2.03,0.0
2024-03-31,3.61,$-2.28,0.0
2023-12-31,7.16,$-2.02,0.0
2023-09-30,2.56,$-3.01,0.0
2023-06-30,2.5,$-3.04,0.0
2023-03-31,2.32,$-2.83,0.0
2022-12-31,1.79,$-2.98,0.0
2022-09-30,2.6,$-1.94,0.0
2022-06-30,2.86,$-2.26,0.0
2022-03-31,80.97,$-2.20,0.0
2021-12-31,80.0,$-2.70,0.0
2021-09-30,119.0,$-3.50,0.0
2021-06-30,155.0,$-4.20,0.0
2021-03-31,240.0,$-4.60,0.0
2020-12-31,295.0,$-4.40,0.0
2020-09-30,153.0,$-4.50,0.0
2020-06-30,250.0,$-4.10,0.0
2020-03-31,204.0,$-4.80,0.0
2019-12-31,309.0,$-4.80,0.0
2019-09-30,334.0,$-4.50,0.0
2019-06-30,320.0,$-4.50,0.0
2019-03-31,287.0,$-3.60,0.0
2018-12-31,402.0,$-3.20,0.0
2018-09-30,467.0,$-3.00,0.0
2018-06-30,823.0,$-2.30,0.0
2018-03-31,417.0,$-2.00,0.0
2017-12-31,325.0,$-1.80,0.0
2017-09-30,177.0,$-1.50,0.0
2017-06-30,105.0,$-1.50,0.0
2017-03-31,142.0,$-1.90,0.0
2016-12-31,115.0,$-2.00,0.0
2016-09-30,111.0,$-2.00,0.0
2016-06-30,117.0,$-2.20,0.0
2016-03-31,106.0,$-2.00,0.0
2015-12-31,96.0,$-2.20,0.0
2015-09-30,107.0,$-2.20,0.0
2015-06-30,179.0,$-9.40,0.0
2015-03-31,147.4,$-9.40,0.0
2014-12-31,133.0,$-9.30,0.0
2014-09-30,179.0,$-9.30,0.0
2014-06-30,180.0,$-2.10,0.0
2014-03-31,182.0,$-2.20,0.0
2013-12-31,167.1,$-2.20,0.0
2013-09-30,180.0,$-1.90,0.0
2013-06-30,202.0,$-1.90,0.0
2013-03-31,203.0,$-6.70,0.0
2012-12-31,138.0,$-8.50,0.0
2012-09-30,184.0,$-7.70,0.0
2012-06-30,184.0,$-8.50,0.0
2012-03-31,217.0,$-4.70,0.0
2011-12-31,95.0,$-4.90,0.0
2011-09-30,152.0,$-4.80,0.0
2011-06-30,226.0,$-5.90,0.0
2011-03-31,514.0,$-10.40,0.0
2010-12-31,508.0,$-10.10,0.0
2010-09-30,381.0,$-14.10,0.0
2010-06-30,443.63,$-11.70,0.0
2010-03-31,748.0,$-9.90,0.0
2009-12-31,880.0,$-12.10,0.0
