Scholar Rock Holding PE Ratio Historical Data,Scholar Rock Holding PE Ratio Historical Data,Scholar Rock Holding PE Ratio Historical Data,Scholar Rock Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,33.64,,0.0
2024-12-31,43.22,$-2.45,0.0
2024-09-30,8.01,$-2.35,0.0
2024-06-30,8.33,$-2.22,0.0
2024-03-31,17.76,$-2.09,0.0
2023-12-31,18.8,$-1.99,0.0
2023-09-30,7.1,$-1.95,0.0
2023-06-30,7.54,$-1.97,0.0
2023-03-31,8.0,$-2.56,0.0
2022-12-31,9.05,$-2.28,0.0
2022-09-30,6.93,$-2.79,0.0
2022-06-30,5.49,$-3.26,0.0
2022-03-31,12.89,$-3.04,0.0
2021-12-31,24.84,$-3.59,0.0
2021-09-30,33.02,$-3.41,0.0
2021-06-30,28.9,$-3.18,0.0
2021-03-31,50.66,$-2.99,0.0
2020-12-31,48.53,$-2.81,0.0
2020-09-30,17.69,$-2.41,0.0
2020-06-30,18.21,$-2.17,0.0
2020-03-31,12.11,$-2.00,0.0
2019-12-31,13.18,$-1.84,0.0
2019-09-30,8.95,$-1.88,0.0
2019-06-30,15.86,$-1.33,0.0
2019-03-31,18.79,$-2.24,0.0
