Franklin Resources PE Ratio Historical Data,Franklin Resources PE Ratio Historical Data,Franklin Resources PE Ratio Historical Data,Franklin Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.01,,30.78
2024-12-31,20.29,$0.65,31.22
2024-09-30,20.15,$0.86,23.43
2024-06-30,22.01,$1.63,13.5
2024-03-31,27.31,$1.75,15.6
2023-12-31,28.32,$1.90,14.9
2023-09-30,23.36,$1.72,13.58
2023-06-30,25.08,$1.60,15.68
2023-03-31,25.02,$1.66,15.07
2022-12-31,24.22,$1.96,12.36
2022-09-30,19.54,$2.52,7.75
2022-06-30,20.89,$3.36,6.22
2022-03-31,24.72,$3.72,6.64
2021-12-31,29.35,$3.78,7.76
2021-09-30,25.82,$3.57,7.23
2021-06-30,27.54,$2.42,11.38
2021-03-31,25.26,$2.15,11.75
2020-12-31,21.12,$1.57,13.45
2020-09-30,17.01,$1.60,10.63
2020-06-30,17.07,$2.06,8.29
2020-03-31,13.59,$1.95,6.97
2019-12-31,20.83,$2.51,8.3
2019-09-30,22.9,$2.35,9.75
2019-06-30,27.37,$2.70,10.14
2019-03-31,25.87,$2.97,8.71
2018-12-31,22.97,$3.03,7.58
2018-09-30,23.35,$1.43,16.33
2018-06-30,24.42,$1.23,19.86
2018-03-31,26.24,$1.21,21.68
2017-12-31,29.95,$1.17,25.6
2017-09-30,30.6,$3.00,10.2
2017-06-30,30.66,$3.06,10.02
2017-03-31,28.72,$3.10,9.26
2016-12-31,26.84,$2.97,9.04
2016-09-30,24.0,$2.94,8.16
2016-06-30,22.4,$2.71,8.27
2016-03-31,26.06,$2.76,9.44
2015-12-31,24.46,$3.13,7.82
2015-09-30,24.63,$3.30,7.46
2015-06-30,32.28,$3.73,8.65
2015-03-31,33.69,$3.83,8.8
2014-12-31,36.24,$3.74,9.69
2014-09-30,35.34,$3.79,9.32
2014-06-30,37.35,$3.57,10.46
2014-03-31,34.91,$3.51,9.95
2013-12-31,37.11,$3.52,10.55
2013-09-30,32.43,$3.36,9.64
2013-06-30,29.03,$3.33,8.71
2013-03-31,32.12,$3.18,10.1
2012-12-31,26.72,$3.06,8.74
2012-09-30,25.92,$2.98,8.69
2012-06-30,22.95,$2.84,8.08
2012-03-31,25.58,$2.89,8.86
2011-12-31,19.77,$2.86,6.91
2011-09-30,19.22,$2.87,6.69
2011-06-30,26.31,$2.80,9.41
2011-03-31,25.02,$2.57,9.73
2010-12-31,22.2,$2.34,9.5
2010-09-30,21.29,$2.11,10.1
2010-06-30,17.13,$2.09,8.2
2010-03-31,21.99,$1.99,11.03
2009-12-31,20.84,$1.64,12.74
