United Community Banks PE Ratio Historical Data,United Community Banks PE Ratio Historical Data,United Community Banks PE Ratio Historical Data,United Community Banks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.12,,13.78
2024-12-31,32.31,$2.04,15.84
2024-09-30,28.87,$1.54,18.75
2024-06-30,25.07,$1.55,16.18
2024-03-31,25.67,$1.54,16.67
2023-12-31,28.28,$1.55,18.25
2023-09-30,24.37,$2.18,11.18
2023-06-30,23.76,$2.53,9.39
2023-03-31,26.5,$2.61,10.15
2022-12-31,31.59,$2.52,12.54
2022-09-30,30.73,$2.33,13.19
2022-06-30,27.84,$2.41,11.55
2022-03-31,31.86,$2.58,12.35
2021-12-31,32.72,$2.97,11.02
2021-09-30,29.71,$3.08,9.65
2021-06-30,28.77,$2.78,10.35
2021-03-31,30.49,$2.32,13.14
2020-12-31,25.29,$1.90,13.31
2020-09-30,14.95,$1.85,8.08
2020-06-30,17.59,$1.93,9.12
2020-03-31,15.87,$2.16,7.35
2019-12-31,26.51,$2.31,11.48
2019-09-30,24.2,$2.26,10.71
2019-06-30,24.23,$2.20,11.01
2019-03-31,21.02,$2.14,9.82
2018-12-31,17.98,$2.06,8.73
2018-09-30,23.21,$1.34,17.32
2018-06-30,25.39,$1.18,21.51
2018-03-31,26.08,$1.08,24.15
2017-12-31,23.1,$0.94,24.58
2017-09-30,23.35,$1.48,15.77
2017-06-30,22.65,$1.46,15.52
2017-03-31,22.49,$1.42,15.84
2016-12-31,23.98,$1.40,17.13
2016-09-30,16.97,$1.27,13.37
2016-06-30,14.71,$1.18,12.47
2016-03-31,14.8,$1.11,13.34
2015-12-31,15.56,$1.09,14.28
2015-09-30,16.27,$1.14,14.27
2015-06-30,16.56,$1.16,14.28
2015-03-31,14.94,$1.15,12.99
2014-12-31,14.95,$1.11,13.47
2014-09-30,12.96,$1.03,12.58
2014-06-30,12.86,$0.95,13.54
2014-03-31,15.22,$4.58,3.32
2013-12-31,13.92,$4.48,3.11
2013-09-30,11.76,$4.37,2.69
2013-06-30,9.74,$4.29,2.27
2013-03-31,8.89,$0.45,19.77
2012-12-31,7.4,$0.45,16.45
2012-09-30,6.58,$0.46,14.31
2012-06-30,6.72,$0.17,39.54
2012-03-31,7.65,$0.19,40.25
2011-12-31,5.48,$-7.81,0.0
2011-09-30,6.66,$-8.93,0.0
2011-06-30,8.28,$-21.37,0.0
2011-03-31,9.14,$-24.75,0.0
2010-12-31,7.65,$-18.80,0.0
2010-09-30,8.79,$-20.05,0.0
2010-06-30,15.49,$-14.60,0.0
2010-03-31,17.3,$-13.19,0.0
2009-12-31,13.3,$-22.12,0.0
