RenaissanceRe Holdings PE Ratio Historical Data,RenaissanceRe Holdings PE Ratio Historical Data,RenaissanceRe Holdings PE Ratio Historical Data,RenaissanceRe Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,235.7,,6.73
2024-12-31,248.81,$35.02,7.1
2024-09-30,272.0,$69.40,3.92
2024-06-30,222.85,$50.58,4.41
2024-03-31,233.92,$45.26,5.17
2023-12-31,194.75,$51.23,3.8
2023-09-30,196.28,$31.07,6.32
2023-06-30,184.62,$8.00,23.08
2023-03-31,197.9,$-3.62,0.0
2022-12-31,181.64,$-25.63,0.0
2022-09-30,138.13,$-31.25,0.0
2022-06-30,153.47,$-21.73,0.0
2022-03-31,155.19,$-4.85,0.0
2021-12-31,165.35,$-1.62,0.0
2021-09-30,135.83,$-2.53,0.0
2021-06-30,144.65,$8.16,17.73
2021-03-31,155.39,$11.44,13.58
2020-12-31,160.44,$15.42,10.4
2020-09-30,163.89,$12.45,13.16
2020-06-30,164.8,$12.34,13.36
2020-03-31,143.61,$8.06,17.82
2019-12-31,188.07,$16.38,11.48
2019-09-30,185.28,$13.51,13.71
2019-06-30,170.18,$13.50,12.61
2019-03-31,136.93,$9.93,13.79
2018-12-31,127.28,$4.92,25.87
2018-09-30,126.85,$6.93,18.31
2018-06-30,113.98,$-6.64,0.0
2018-03-31,130.86,$-7.18,0.0
2017-12-31,118.36,$-6.35,0.0
2017-09-30,127.04,$-4.57,0.0
2017-06-30,130.4,$11.74,11.11
2017-03-31,135.35,$10.72,12.63
2016-12-31,127.19,$11.42,11.14
2016-09-30,111.93,$11.82,9.47
2016-06-30,109.11,$9.92,11.0
2016-03-31,111.02,$8.29,13.39
2015-12-31,104.59,$9.48,11.03
2015-09-30,97.97,$11.81,8.3
2015-06-30,93.28,$11.85,7.87
2015-03-31,91.38,$13.21,6.92
2014-12-31,88.82,$12.63,7.03
2014-09-30,91.07,$14.26,6.39
2014-06-30,97.18,$16.57,5.86
2014-03-31,88.4,$14.22,6.22
2013-12-31,87.9,$14.89,5.9
2013-09-30,81.51,$9.72,8.39
2013-06-30,77.89,$9.39,8.3
2013-03-31,82.29,$11.54,7.13
2012-12-31,72.46,$11.19,6.48
2012-09-30,68.47,$11.89,5.76
2012-06-30,67.32,$9.16,7.35
2012-03-31,66.83,$6.90,9.68
2011-12-31,65.39,$-1.80,0.0
2011-09-30,55.89,$-1.10,0.0
2011-06-30,61.04,$1.74,35.08
2011-03-31,59.98,$5.00,12.0
2010-12-31,55.15,$12.62,4.37
2010-09-30,51.72,$13.80,3.75
2010-06-30,48.33,$14.22,3.4
2010-03-31,48.54,$14.79,3.28
2009-12-31,45.24,$13.56,3.34
