Pool PE Ratio Historical Data,Pool PE Ratio Historical Data,Pool PE Ratio Historical Data,Pool PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,320.34,,28.4
2024-12-31,340.94,$11.28,30.23
2024-09-30,375.52,$11.62,32.32
2024-06-30,305.23,$11.86,25.74
2024-03-31,399.49,$12.78,31.26
2023-12-31,393.68,$13.32,29.56
2023-09-30,350.45,$13.82,25.36
2023-06-30,367.65,$15.09,24.36
2023-03-31,334.97,$16.81,19.93
2022-12-31,294.89,$18.64,15.82
2022-09-30,309.35,$19.47,15.89
2022-06-30,340.56,$19.23,17.71
2022-03-31,409.01,$17.97,22.76
2021-12-31,546.52,$15.98,34.2
2021-09-30,418.82,$14.78,28.34
2021-06-30,441.47,$13.16,33.55
2021-03-31,331.69,$10.66,31.12
2020-12-31,357.28,$8.99,39.74
2020-09-30,320.32,$7.98,40.14
2020-06-30,259.85,$7.01,37.07
2020-03-31,187.57,$6.36,29.49
2019-12-31,201.92,$6.41,31.5
2019-09-30,191.25,$6.38,29.98
2019-06-30,180.59,$6.09,29.65
2019-03-31,155.51,$5.67,27.43
2018-12-31,139.73,$5.62,24.86
2018-09-30,156.4,$5.83,26.83
2018-06-30,141.59,$5.33,26.56
2018-03-31,136.24,$4.74,28.74
2017-12-31,120.49,$4.51,26.72
2017-09-30,100.22,$3.95,25.37
2017-06-30,108.55,$3.82,28.42
2017-03-31,109.84,$3.59,30.6
2016-12-31,95.79,$3.45,27.77
2016-09-30,86.49,$3.45,25.07
2016-06-30,85.78,$3.32,25.84
2016-03-31,79.76,$3.09,25.81
2015-12-31,73.2,$2.90,25.24
2015-09-30,65.31,$2.79,23.41
2015-06-30,63.16,$2.67,23.66
2015-03-31,62.55,$2.53,24.72
2014-12-31,56.69,$2.43,23.33
2014-09-30,48.01,$2.37,20.26
2014-06-30,50.16,$2.27,22.1
2014-03-31,54.18,$2.05,26.43
2013-12-31,51.21,$2.03,25.23
2013-09-30,49.21,$1.97,24.98
2013-06-30,45.84,$1.74,26.34
2013-03-31,41.82,$1.69,24.75
2012-12-31,36.75,$1.70,21.62
2012-09-30,35.97,$1.66,21.67
2012-06-30,34.85,$1.71,20.38
2012-03-31,32.09,$1.56,20.57
2011-12-31,25.71,$1.47,17.49
2011-09-30,22.25,$1.44,15.45
2011-06-30,25.19,$1.39,18.13
2011-03-31,20.29,$1.25,16.23
2010-12-31,18.86,$1.14,16.55
2010-09-30,16.69,$1.10,15.18
2010-06-30,18.12,$0.46,39.39
2010-03-31,18.62,$0.40,46.55
2009-12-31,15.6,$0.39,39.99
