1-800 FLOWERS.COM PE Ratio Historical Data,1-800 FLOWERS.COM PE Ratio Historical Data,1-800 FLOWERS.COM PE Ratio Historical Data,1-800 FLOWERS.COM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.67,,0.0
2024-12-31,8.17,$-0.11,0.0
2024-09-30,7.93,$-0.14,0.0
2024-06-30,9.52,$-0.09,0.0
2024-03-31,10.83,$-0.12,0.0
2023-12-31,10.78,$-0.96,0.0
2023-09-30,7.0,$-0.66,0.0
2023-06-30,7.8,$-0.70,0.0
2023-03-31,11.5,$-0.69,0.0
2022-12-31,9.56,$0.05,191.2
2022-09-30,6.49,$0.12,54.08
2022-06-30,9.51,$0.44,21.61
2022-03-31,12.76,$0.98,13.02
2021-12-31,23.37,$1.36,17.18
2021-09-30,30.51,$1.73,17.64
2021-06-30,31.87,$1.78,17.9
2021-03-31,27.61,$1.73,15.96
2020-12-31,26.0,$1.56,16.67
2020-09-30,24.94,$0.97,25.71
2020-06-30,20.02,$0.88,22.75
2020-03-31,13.23,$0.60,22.05
2019-12-31,14.5,$0.62,23.39
2019-09-30,14.8,$0.54,27.4
2019-06-30,18.88,$0.51,37.02
2019-03-31,18.23,$0.51,35.75
2018-12-31,12.23,$0.51,23.98
2018-09-30,11.8,$0.53,22.26
2018-06-30,12.55,$0.60,20.92
2018-03-31,11.8,$0.85,13.88
2017-12-31,10.7,$0.81,13.21
2017-09-30,9.85,$0.68,14.49
2017-06-30,9.75,$0.64,15.23
2017-03-31,10.2,$0.35,29.14
2016-12-31,10.7,$0.38,28.16
2016-09-30,9.17,$0.37,24.78
2016-06-30,9.02,$0.54,16.7
2016-03-31,7.88,$0.55,14.33
2015-12-31,7.28,$0.53,13.74
2015-09-30,9.1,$0.29,31.36
2015-06-30,10.46,$0.29,36.07
2015-03-31,11.83,$0.50,23.66
2014-12-31,8.24,$0.64,12.88
2014-09-30,7.19,$0.23,31.26
2014-06-30,5.8,$0.23,25.22
2014-03-31,5.63,$0.15,37.53
2013-12-31,5.41,$0.21,25.76
2013-09-30,4.93,$0.18,27.39
2013-06-30,6.19,$0.18,34.39
2013-03-31,4.97,$0.23,21.61
2012-12-31,3.67,$0.19,19.32
2012-09-30,3.73,$0.20,18.65
2012-06-30,3.49,$0.26,13.42
2012-03-31,3.03,$0.24,12.63
2011-12-31,2.2,$0.20,11.0
2011-09-30,2.32,$0.16,14.5
2011-06-30,3.1,$0.09,34.44
2011-03-31,3.3,$0.01,0.0
2010-12-31,2.69,$-0.07,0.0
2010-09-30,1.89,$-0.04,0.0
2010-06-30,2.06,$-0.08,0.0
2010-03-31,2.51,$-0.35,0.0
2009-12-31,2.65,$-1.26,0.0
