Cathay General Bancorp PE Ratio Historical Data,Cathay General Bancorp PE Ratio Historical Data,Cathay General Bancorp PE Ratio Historical Data,Cathay General Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.14,,10.89
2024-12-31,47.61,$3.96,12.02
2024-09-30,42.67,$3.97,10.75
2024-06-30,37.19,$4.16,8.94
2024-03-31,36.95,$4.52,8.17
2023-12-31,43.16,$4.86,8.88
2023-09-30,33.34,$5.06,6.59
2023-06-30,30.59,$5.28,5.79
2023-03-31,32.44,$5.18,6.26
2022-12-31,38.04,$4.85,7.84
2022-09-30,35.6,$4.50,7.91
2022-06-30,35.95,$4.08,8.81
2022-03-31,40.75,$3.87,10.53
2021-12-31,38.85,$3.80,10.22
2021-09-30,37.11,$3.71,10.0
2021-06-30,35.02,$3.49,10.04
2021-03-31,36.02,$3.20,11.26
2020-12-31,28.2,$2.87,9.83
2020-09-30,18.79,$2.82,6.66
2020-06-30,22.51,$3.02,7.45
2020-03-31,19.42,$3.24,5.99
2019-12-31,31.87,$3.48,9.16
2019-09-30,28.85,$3.44,8.39
2019-06-30,29.55,$3.38,8.74
2019-03-31,27.65,$3.38,8.18
2018-12-31,27.12,$3.33,8.14
2018-09-30,33.26,$2.85,11.67
2018-06-30,32.31,$2.61,12.38
2018-03-31,31.72,$2.35,13.5
2017-12-31,33.27,$2.18,15.26
2017-09-30,31.54,$2.46,12.82
2017-06-30,29.6,$2.43,12.18
2017-03-31,29.21,$2.23,13.1
2016-12-31,29.33,$2.19,13.39
2016-09-30,23.6,$2.10,11.24
2016-06-30,21.5,$1.99,10.8
2016-03-31,21.47,$2.11,10.18
2015-12-31,23.59,$1.99,11.85
2015-09-30,22.44,$1.92,11.69
2015-06-30,24.19,$1.90,12.73
2015-03-31,21.11,$1.78,11.86
2014-12-31,18.92,$1.72,11.0
2014-09-30,18.28,$1.68,10.88
2014-06-30,18.77,$1.61,11.66
2014-03-31,18.44,$1.52,12.13
2013-12-31,19.53,$1.43,13.66
2013-09-30,17.05,$1.34,12.72
2013-06-30,14.84,$1.29,11.5
2013-03-31,14.66,$1.27,11.54
2012-12-31,14.22,$1.29,11.03
2012-09-30,12.56,$1.28,9.82
2012-06-30,12.01,$1.23,9.77
2012-03-31,12.87,$1.16,11.09
2011-12-31,10.85,$1.07,10.14
2011-09-30,8.26,$0.95,8.7
2011-06-30,11.89,$0.84,14.16
2011-03-31,12.36,$0.55,22.48
2010-12-31,12.1,$-0.09,0.0
2010-09-30,8.61,$-0.91,0.0
2010-06-30,7.47,$-1.51,0.0
2010-03-31,8.4,$-2.06,0.0
2009-12-31,5.45,$-1.53,0.0
