Orrstown Financial Services Inc PE Ratio Historical Data,Orrstown Financial Services Inc PE Ratio Historical Data,Orrstown Financial Services Inc PE Ratio Historical Data,Orrstown Financial Services Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.83,,16.58
2024-09-30,35.74,$1.86,19.21
2024-06-30,27.0,$3.14,8.6
2024-03-31,26.22,$3.35,7.83
2023-12-31,28.68,$3.41,8.41
2023-09-30,20.24,$3.59,5.64
2023-06-30,18.3,$3.24,5.65
2023-03-31,18.75,$3.13,5.99
2022-12-31,21.69,$3.02,7.18
2022-09-30,22.24,$2.71,8.21
2022-06-30,22.31,$2.84,7.86
2022-03-31,21.0,$2.80,7.5
2021-12-31,22.9,$2.96,7.74
2021-09-30,21.09,$3.27,6.45
2021-06-30,20.63,$3.07,6.72
2021-03-31,19.79,$2.86,6.92
2020-12-31,14.53,$2.40,6.06
2020-09-30,11.11,$1.87,5.94
2020-06-30,12.64,$2.04,6.2
2020-03-31,11.65,$1.72,6.78
2019-12-31,18.99,$1.59,11.94
2019-09-30,18.26,$1.33,13.73
2019-06-30,18.21,$1.20,15.17
2019-03-31,15.28,$1.42,10.76
2018-12-31,14.85,$1.53,9.71
2018-09-30,19.41,$1.41,13.77
2018-06-30,21.1,$1.26,16.75
2018-03-31,19.5,$1.18,16.53
2017-12-31,20.29,$0.98,20.71
2017-09-30,19.92,$1.22,16.33
2017-06-30,18.21,$1.06,17.18
2017-03-31,17.73,$0.74,23.96
2016-12-31,17.69,$0.82,21.57
2016-09-30,15.52,$0.76,20.42
2016-06-30,14.12,$0.88,16.04
2016-03-31,13.48,$0.98,13.76
2015-12-31,13.82,$0.96,14.4
2015-09-30,13.01,$3.14,4.14
2015-06-30,12.43,$3.48,3.57
2015-03-31,13.08,$3.65,3.58
2014-12-31,13.01,$3.59,3.62
2014-09-30,12.48,$1.59,7.85
2014-06-30,12.66,$1.21,10.46
2014-03-31,12.61,$1.28,9.85
2013-12-31,12.51,$1.23,10.17
2013-09-30,13.35,$1.00,13.35
2013-06-30,9.7,$-1.91,0.0
2013-03-31,11.32,$-3.56,0.0
2012-12-31,7.38,$-4.77,0.0
2012-09-30,8.42,$-8.56,0.0
2012-06-30,6.14,$-5.37,0.0
2012-03-31,6.71,$-5.47,0.0
2011-12-31,6.31,$-3.97,0.0
2011-09-30,9.83,$0.24,40.97
2011-06-30,19.85,$0.31,64.04
2011-03-31,20.94,$2.11,9.92
2010-12-31,20.32,$2.13,9.54
2010-09-30,17.02,$2.02,8.43
2010-06-30,16.11,$1.99,8.1
2010-03-31,18.31,$2.03,9.02
2009-12-31,24.98,$1.98,12.62
