Digital Ally/NV PE Ratio Historical Data,Digital Ally/NV PE Ratio Historical Data,Digital Ally/NV PE Ratio Historical Data,Digital Ally/NV PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.07,,0.0
2024-09-30,1.04,$-6.69,0.0
2024-06-30,2.4,$-7.10,0.0
2024-03-31,2.52,$-8.37,0.0
2023-12-31,2.12,$-9.22,0.0
2023-09-30,2.08,$-6.55,0.0
2023-06-30,4.05,$-6.03,0.0
2023-03-31,4.62,$-3.42,0.0
2022-12-31,0.23,$-3.80,0.0
2022-09-30,0.46,$-3.40,0.0
2022-06-30,0.79,$0.60,1.32
2022-03-31,1.09,$-1.00,0.0
2021-12-31,1.07,$11.40,0.09
2021-09-30,1.21,$10.80,0.11
2021-06-30,1.8,$8.00,0.23
2021-03-31,1.63,$9.40,0.17
2020-12-31,2.34,$-3.80,0.0
2020-09-30,2.14,$-9.40,0.0
2020-06-30,3.14,$-15.00,0.0
2020-03-31,0.85,$-15.00,0.0
2019-12-31,1.02,$-17.40,0.0
2019-09-30,1.28,$-21.80,0.0
2019-06-30,1.45,$-28.60,0.0
2019-03-31,3.72,$-36.40,0.0
2018-12-31,2.68,$-38.00,0.0
2018-09-30,2.85,$-40.40,0.0
2018-06-30,2.35,$-39.60,0.0
2018-03-31,2.6,$-39.40,0.0
2017-12-31,2.65,$-39.20,0.0
2017-09-30,2.4,$-42.60,0.0
2017-06-30,3.1,$-43.60,0.0
2017-03-31,4.3,$-46.20,0.0
2016-12-31,4.2,$-47.80,0.0
2016-09-30,5.94,$-42.40,0.0
2016-06-30,3.88,$-39.20,0.0
2016-03-31,4.95,$-32.40,0.0
2015-12-31,6.32,$-61.60,0.0
2015-09-30,6.23,$-57.00,0.0
2015-06-30,13.84,$-94.40,0.0
2015-03-31,12.75,$-99.00,0.0
2014-12-31,15.32,$-68.80,0.0
2014-09-30,16.02,$-77.60,0.0
2014-06-30,3.11,$-39.60,0.0
2014-03-31,6.14,$-31.60,0.0
2013-12-31,9.19,$-22.80,0.0
2013-09-30,13.69,$-12.80,0.0
2013-06-30,7.48,$-1.80,0.0
2013-03-31,4.36,$-10.80,0.0
2012-12-31,3.48,$-19.80,0.0
2012-09-30,3.44,$-29.40,0.0
2012-06-30,3.52,$-33.60,0.0
2012-03-31,6.16,$-35.20,0.0
2011-12-31,4.8,$-38.40,0.0
2011-09-30,6.16,$-73.60,0.0
2011-06-30,9.28,$-76.80,0.0
2011-03-31,10.4,$-73.60,0.0
2010-12-31,14.0,$-65.60,0.0
2010-09-30,15.36,$-12.80,0.0
2010-06-30,16.96,$-6.40,0.0
2010-03-31,14.8,0,0.0
2009-12-31,16.4,$-9.60,0.0
