Flowers Foods PE Ratio Historical Data,Flowers Foods PE Ratio Historical Data,Flowers Foods PE Ratio Historical Data,Flowers Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.16,,15.52
2024-12-31,20.66,$1.17,17.66
2024-09-30,22.83,$1.14,20.02
2024-06-30,21.74,$0.61,35.65
2024-03-31,23.26,$0.59,39.43
2023-12-31,21.82,$0.58,37.63
2023-09-30,21.27,$0.64,33.23
2023-06-30,23.63,$1.05,22.5
2023-03-31,25.8,$1.00,25.8
2022-12-31,26.83,$1.07,25.08
2022-09-30,22.88,$1.02,22.44
2022-06-30,24.2,$1.01,23.96
2022-03-31,23.44,$1.02,22.98
2021-12-31,24.85,$0.96,25.89
2021-09-30,21.2,$1.04,20.39
2021-06-30,21.53,$1.07,20.12
2021-03-31,20.99,$1.08,19.44
2020-12-31,19.79,$0.71,27.87
2020-09-30,21.08,$0.46,45.83
2020-06-30,19.22,$0.45,42.71
2020-03-31,17.48,$0.43,40.66
2019-12-31,18.37,$0.77,23.85
2019-09-30,19.37,$0.86,22.52
2019-06-30,19.33,$0.85,22.74
2019-03-31,17.56,$0.81,21.68
2018-12-31,15.08,$0.74,20.38
2018-09-30,15.24,$1.01,15.08
2018-06-30,16.86,$0.66,25.54
2018-03-31,17.53,$0.66,26.56
2017-12-31,15.36,$0.71,21.63
2017-09-30,14.84,$0.40,37.09
2017-06-30,13.52,$0.75,18.03
2017-03-31,15.02,$0.78,19.26
2016-12-31,15.33,$0.77,19.91
2016-09-30,11.49,$0.86,13.36
2016-06-30,14.09,$0.88,16.02
2016-03-31,13.76,$0.88,15.63
2015-12-31,15.88,$0.89,17.84
2015-09-30,18.17,$0.87,20.88
2015-06-30,15.43,$0.87,17.74
2015-03-31,16.48,$0.83,19.86
2014-12-31,13.82,$0.83,16.66
2014-09-30,13.14,$0.88,14.93
2014-06-30,14.99,$0.83,18.06
2014-03-31,15.16,$0.85,17.84
2013-12-31,15.09,$1.10,13.72
2013-09-30,14.99,$1.11,13.55
2013-06-30,15.34,$1.09,14.03
2013-03-31,15.2,$1.01,15.0
2012-12-31,10.68,$0.66,16.17
2012-09-30,9.2,$0.59,15.67
2012-06-30,10.5,$0.59,17.71
2012-03-31,9.15,$0.59,15.42
2011-12-31,8.46,$0.61,13.94
2011-09-30,8.61,$0.64,13.36
2011-06-30,9.67,$0.64,15.06
2011-03-31,7.91,$0.67,11.87
2010-12-31,7.76,$0.66,11.72
2010-09-30,7.11,$0.66,10.8
2010-06-30,6.94,$0.66,10.54
2010-03-31,6.97,$0.64,10.89
2009-12-31,6.65,$0.62,10.68
