Envela PE Ratio Historical Data,Envela PE Ratio Historical Data,Envela PE Ratio Historical Data,Envela PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.44,,22.67
2024-09-30,5.48,$0.24,22.83
2024-06-30,4.49,$0.24,18.71
2024-03-31,4.62,$0.24,19.25
2023-12-31,4.86,$0.26,18.69
2023-09-30,4.74,$0.43,11.02
2023-06-30,7.36,$0.49,15.02
2023-03-31,6.5,$0.57,11.4
2022-12-31,5.26,$0.58,9.07
2022-09-30,5.06,$0.46,11.0
2022-06-30,7.13,$0.46,15.5
2022-03-31,4.66,$0.40,11.65
2021-12-31,4.07,$0.37,11.0
2021-09-30,4.16,$0.33,12.61
2021-06-30,4.8,$0.31,15.48
2021-03-31,5.02,$0.25,20.08
2020-12-31,5.2,$0.22,23.64
2020-09-30,4.29,$0.18,23.83
2020-06-30,6.1,$0.12,50.83
2020-03-31,2.52,$0.10,25.2
2019-12-31,1.35,$0.07,19.29
2019-09-30,1.2,$0.05,24.0
2019-06-30,1.3,$-0.01,0.0
2019-03-31,0.43,0,0.0
2018-12-31,0.46,0,0.0
2018-09-30,0.64,0,0.0
2018-06-30,0.72,$0.04,18.0
2018-03-31,0.83,$0.04,20.75
2017-12-31,0.93,$0.04,23.28
2017-09-30,1.34,$-0.04,0.0
2017-06-30,1.67,$-0.18,0.0
2017-03-31,1.49,$-0.23,0.0
2016-12-31,1.24,$-0.30,0.0
2016-09-30,0.84,$-0.29,0.0
2016-06-30,0.73,$-0.21,0.0
2016-03-31,0.49,$-0.18,0.0
2015-12-31,0.33,$-0.19,0.0
2015-09-30,0.35,$-0.10,0.0
2015-06-30,0.45,$-0.05,0.0
2015-03-31,1.49,$-0.40,0.0
2014-12-31,1.22,$-0.37,0.0
2014-09-30,1.37,$-0.42,0.0
2014-06-30,1.46,$-0.55,0.0
2014-03-31,2.15,$-0.28,0.0
2013-12-31,2.23,$-0.22,0.0
2013-09-30,2.97,$-0.18,0.0
2013-06-30,2.96,$-0.10,0.0
2013-03-31,5.61,$-0.21,0.0
2012-12-31,5.43,$-0.19,0.0
2012-09-30,7.43,$0.08,92.88
2012-06-30,7.43,$0.13,57.15
2012-03-31,7.48,$0.38,19.68
2011-12-31,7.47,$0.37,20.19
2011-09-30,8.1,$0.09,90.0
2011-06-30,7.1,$0.09,78.89
2011-03-31,5.1,$0.80,6.38
2010-12-31,4.28,$0.76,5.63
2010-09-30,3.71,$0.61,6.08
2010-06-30,3.17,$0.63,5.03
2010-03-31,2.25,$-0.13,0.0
2009-12-31,1.41,$-0.10,0.0
