Independent Bank PE Ratio Historical Data,Independent Bank PE Ratio Historical Data,Independent Bank PE Ratio Historical Data,Independent Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,60.28,,0.0
2024-09-30,57.29,$-10.46,0.0
2024-06-30,44.89,$-10.16,0.0
2024-03-31,44.57,$2.53,17.62
2023-12-31,49.29,$1.04,47.4
2023-09-30,37.9,$1.67,22.7
2023-06-30,32.81,$2.15,15.26
2023-03-31,43.52,$2.60,16.74
2022-12-31,56.08,$4.69,11.96
2022-09-30,56.95,$4.96,11.48
2022-06-30,62.67,$4.90,12.79
2022-03-31,65.32,$5.00,13.06
2021-12-31,65.9,$5.21,12.65
2021-09-30,64.57,$5.30,12.18
2021-06-30,66.92,$5.48,12.21
2021-03-31,65.07,$5.03,12.94
2020-12-31,56.07,$4.67,12.01
2020-09-30,39.4,$4.49,8.77
2020-06-30,35.95,$4.40,8.17
2020-03-31,20.84,$4.65,4.48
2019-12-31,48.56,$4.47,10.86
2019-09-30,45.87,$4.41,10.4
2019-06-30,47.69,$4.28,11.14
2019-03-31,44.51,$4.15,10.72
2018-12-31,39.54,$4.32,9.15
2018-09-30,57.13,$3.89,14.69
2018-06-30,57.44,$3.56,16.14
2018-03-31,60.68,$3.19,19.02
2017-12-31,57.92,$2.99,19.37
2017-09-30,51.59,$3.10,16.64
2017-06-30,50.82,$3.04,16.72
2017-03-31,54.83,$3.03,18.1
2016-12-31,53.12,$2.88,18.45
2016-09-30,37.52,$2.67,14.05
2016-06-30,36.38,$2.36,15.42
2016-03-31,23.18,$2.33,9.95
2015-12-31,26.99,$2.21,12.21
2015-09-30,32.36,$2.22,14.57
2015-06-30,36.06,$2.29,15.74
2015-03-31,32.63,$2.00,16.32
2014-12-31,32.69,$1.83,17.86
2014-09-30,39.66,$1.59,24.95
2014-06-30,46.48,$1.38,33.68
2014-03-31,48.99,$1.55,31.6
