Voya Financial PE Ratio Historical Data,Voya Financial PE Ratio Historical Data,Voya Financial PE Ratio Historical Data,Voya Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,68.37,,11.17
2024-12-31,68.83,$6.12,11.25
2024-09-30,78.79,$6.28,12.55
2024-06-30,70.3,$7.59,9.26
2024-03-31,72.65,$7.04,10.32
2023-12-31,71.29,$5.43,13.13
2023-09-30,64.56,$6.10,10.58
2023-06-30,69.28,$5.63,12.31
2023-03-31,68.84,$4.79,14.37
2022-12-31,59.08,$4.40,13.43
2022-09-30,57.95,$5.99,9.67
2022-06-30,56.84,$5.32,10.68
2022-03-31,63.12,$8.28,7.62
2021-12-31,62.89,$16.33,3.85
2021-09-30,58.04,$15.54,3.73
2021-06-30,57.99,$11.75,4.94
2021-03-31,59.86,$7.67,7.8
2020-12-31,55.17,$-1.33,0.0
2020-09-30,44.85,$-9.35,0.0
2020-06-30,43.53,$-5.97,0.0
2020-03-31,37.71,$-3.91,0.0
2019-12-31,56.56,$-2.78,0.0
2019-09-30,50.36,$3.43,14.68
2019-06-30,51.0,$3.56,14.33
2019-03-31,46.07,$3.01,15.3
2018-12-31,37.0,$5.09,7.27
2018-09-30,45.79,$-13.31,0.0
2018-06-30,43.32,$-13.37,0.0
2018-03-31,46.54,$-13.44,0.0
2017-12-31,45.58,$-16.69,0.0
2017-09-30,36.74,$-1.79,0.0
2017-06-30,33.97,$-3.83,0.0
2017-03-31,34.95,$-3.93,0.0
2016-12-31,36.1,$-2.26,0.0
2016-09-30,26.52,$-0.01,0.0
2016-06-30,22.77,$1.40,16.27
2016-03-31,27.37,$1.85,14.8
2015-12-31,33.93,$1.70,19.96
2015-09-30,35.63,$7.85,4.54
2015-06-30,42.7,$9.25,4.62
2015-03-31,39.6,$8.97,4.41
2014-12-31,38.92,$9.18,4.24
2014-09-30,35.9,$5.60,6.41
2014-06-30,33.36,$5.34,6.25
2014-03-31,33.28,$4.05,8.22
