Trinity Capital PE Ratio Historical Data,Trinity Capital PE Ratio Historical Data,Trinity Capital PE Ratio Historical Data,Trinity Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.15,,7.84
2024-12-31,14.47,$2.06,7.02
2024-09-30,13.57,$1.71,7.94
2024-06-30,14.14,$1.68,8.42
2024-03-31,14.68,$1.61,9.12
2023-12-31,14.53,$1.91,7.61
2023-09-30,13.92,$1.47,9.47
2023-06-30,13.26,$0.71,18.68
2023-03-31,12.73,$-0.06,0.0
2022-12-31,10.93,$-0.99,0.0
2022-09-30,12.53,$0.89,14.08
2022-06-30,14.47,$2.19,6.61
2022-03-31,18.57,$3.37,5.51
2021-12-31,16.44,$4.78,3.44
