Airgain PE Ratio Historical Data,Airgain PE Ratio Historical Data,Airgain PE Ratio Historical Data,Airgain PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.15,,0.0
2024-12-31,7.06,$-0.79,0.0
2024-09-30,7.54,$-1.14,0.0
2024-06-30,6.04,$-1.16,0.0
2024-03-31,5.45,$-1.14,0.0
2023-12-31,3.56,$-1.19,0.0
2023-09-30,3.67,$-0.98,0.0
2023-06-30,5.4,$-0.93,0.0
2023-03-31,5.37,$-0.88,0.0
2022-12-31,6.51,$-0.85,0.0
2022-09-30,7.21,$-1.00,0.0
2022-06-30,8.12,$-1.17,0.0
2022-03-31,7.58,$-1.27,0.0
2021-12-31,10.63,$-1.00,0.0
2021-09-30,12.61,$-0.65,0.0
2021-06-30,20.62,$-0.38,0.0
2021-03-31,21.19,$-0.20,0.0
2020-12-31,17.78,$-0.34,0.0
2020-09-30,13.34,$-0.22,0.0
2020-06-30,10.74,$-0.20,0.0
2020-03-31,7.39,$-0.05,0.0
2019-12-31,10.69,$0.10,106.9
2019-09-30,11.75,$0.22,53.41
2019-06-30,14.15,$0.27,52.41
2019-03-31,12.83,$-0.14,0.0
2018-12-31,9.91,$-0.29,0.0
2018-09-30,13.14,$-0.36,0.0
2018-06-30,9.19,$-0.38,0.0
2018-03-31,7.74,$-0.05,0.0
2017-12-31,8.99,$0.11,81.73
2017-09-30,9.09,$0.17,53.47
2017-06-30,14.18,$0.31,45.74
