Institutional Financial Markets PE Ratio Historical Data,Institutional Financial Markets PE Ratio Historical Data,Institutional Financial Markets PE Ratio Historical Data,Institutional Financial Markets PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.48,,0.0
2024-12-31,10.35,$-0.09,0.0
2024-09-30,8.18,$4.09,2.0
2024-06-30,8.39,$2.50,3.36
2024-03-31,6.61,$-0.37,0.0
2023-12-31,5.95,$-3.42,0.0
2023-09-30,5.64,$-8.49,0.0
2023-06-30,3.4,$-8.85,0.0
2023-03-31,5.55,$-6.04,0.0
2022-12-31,6.55,$-9.73,0.0
2022-09-30,6.53,$-5.50,0.0
2022-06-30,8.09,$-8.32,0.0
2022-03-31,11.96,$-5.58,0.0
2021-12-31,10.34,$6.86,1.51
2021-09-30,13.31,$12.37,1.08
2021-06-30,12.83,$17.02,0.75
2021-03-31,16.15,$16.50,0.98
2020-12-31,11.12,$6.82,1.63
2020-09-30,13.31,$-0.26,0.0
2020-06-30,6.41,$-2.51,0.0
2020-03-31,2.26,$-3.56,0.0
2019-12-31,2.69,$-1.92,0.0
2019-09-30,2.79,$-2.85,0.0
2019-06-30,3.13,$-2.36,0.0
2019-03-31,4.37,$-1.93,0.0
2018-12-31,5.41,$-2.13,0.0
2018-09-30,6.29,$-0.86,0.0
2018-06-30,6.54,$-0.74,0.0
2018-03-31,6.61,$-0.51,0.0
2017-12-31,4.76,$1.25,3.81
2017-09-30,6.38,$0.55,11.6
2017-06-30,6.61,$1.90,3.48
2017-03-31,6.61,$2.30,2.87
2016-12-31,6.67,$1.90,3.51
2016-09-30,6.01,$-0.20,0.0
2016-06-30,4.44,$-1.40,0.0
2016-03-31,4.52,$-2.30,0.0
2015-12-31,6.02,$-2.80,0.0
2015-09-30,7.63,$-2.80,0.0
2015-06-30,7.06,$-3.30,0.0
2015-03-31,7.72,$-4.50,0.0
2014-12-31,8.6,$-5.50,0.0
2014-09-30,9.67,$-6.40,0.0
2014-06-30,9.67,$-5.70,0.0
2014-03-31,10.1,$-8.30,0.0
2013-12-31,9.35,$-10.90,0.0
2013-09-30,10.87,$-5.50,0.0
2013-06-30,11.69,$-3.60,0.0
2013-03-31,10.7,$-1.50,0.0
2012-12-31,5.46,$-1.20,0.0
2012-09-30,5.07,$-6.10,0.0
2012-06-30,3.75,$-10.50,0.0
2012-03-31,5.88,$-11.70,0.0
2011-12-31,6.14,$-7.70,0.0
2011-09-30,7.87,$-2.90,0.0
2011-06-30,13.71,$-0.30,0.0
2011-03-31,18.4,$4.80,3.83
2010-12-31,17.18,$7.30,2.35
2010-09-30,17.39,$3.80,4.58
2010-06-30,19.38,$-327.20,0.0
2010-03-31,21.86,$291.80,0.07
2009-12-31,18.99,$229.00,0.08
