Mastercard PE Ratio Historical Data,Mastercard PE Ratio Historical Data,Mastercard PE Ratio Historical Data,Mastercard PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,536.38,,38.62
2024-12-31,526.57,$13.89,37.91
2024-09-30,493.15,$13.22,37.3
2024-06-30,439.93,$13.08,33.63
2024-03-31,479.56,$12.58,38.12
2023-12-31,424.07,$11.83,35.85
2023-09-30,393.07,$11.48,34.24
2023-06-30,389.92,$10.67,36.54
2023-03-31,359.72,$10.01,35.94
2022-12-31,343.67,$10.22,33.63
2022-09-30,280.56,$10.01,28.03
2022-06-30,310.81,$9.87,31.49
2022-03-31,351.6,$9.61,36.59
2021-12-31,353.04,$8.76,40.3
2021-09-30,341.18,$8.13,41.97
2021-06-30,357.84,$7.20,49.7
2021-03-31,348.58,$6.53,53.38
2020-12-31,349.01,$6.38,54.7
2020-09-30,330.27,$6.67,49.52
2020-06-30,288.41,$7.23,39.89
2020-03-31,235.26,$7.82,30.08
2019-12-31,290.42,$7.94,36.58
2019-09-30,263.81,$6.74,39.14
2019-06-30,256.66,$6.49,39.55
2019-03-31,228.13,$5.99,38.08
2018-12-31,182.78,$5.60,32.64
2018-09-30,215.43,$4.94,43.61
2018-06-30,189.95,$4.46,42.59
2018-03-31,169.05,$4.06,41.64
2017-12-31,145.85,$3.65,39.96
2017-09-30,135.86,$4.30,31.59
2017-06-30,116.64,$4.04,28.87
2017-03-31,107.81,$3.83,28.15
2016-12-31,98.77,$3.69,26.77
2016-09-30,97.17,$3.62,26.84
2016-06-30,83.9,$3.40,24.68
2016-03-31,89.85,$3.32,27.06
2015-12-31,92.38,$3.35,27.58
2015-09-30,85.37,$3.25,26.27
2015-06-30,88.4,$3.26,27.12
2015-03-31,81.55,$3.25,25.09
2014-12-31,81.18,$3.09,26.27
2014-09-30,69.54,$2.92,23.81
2014-06-30,69.02,$2.78,24.85
2014-03-31,70.06,$2.67,26.21
2013-12-31,78.35,$2.57,30.53
2013-09-30,63.04,$2.53,24.9
2013-06-30,53.77,$2.42,22.2
2013-03-31,50.59,$2.28,22.18
2012-12-31,45.91,$2.19,20.92
2012-09-30,42.16,$1.72,24.47
2012-06-30,40.14,$1.67,24.05
2012-03-31,39.22,$1.59,24.67
2011-12-31,34.75,$1.48,23.43
2011-09-30,29.55,$1.78,16.56
2011-06-30,28.06,$1.62,17.38
2011-03-31,23.43,$1.49,15.75
2010-12-31,20.85,$1.41,14.84
2010-09-30,20.82,$1.32,15.79
2010-06-30,18.53,$1.28,14.54
2010-03-31,23.58,$1.19,19.76
2009-12-31,23.75,$1.13,21.07
