Petroleo Brasileiro S.A.- Petrobras PE Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras PE Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras PE Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.03,,5.48
2024-09-30,13.87,$2.56,5.42
2024-06-30,13.63,$2.48,5.49
2024-03-31,13.66,$3.44,3.97
2023-12-31,14.35,$3.82,3.76
2023-09-30,13.23,$4.12,3.21
2023-06-30,11.87,$4.62,2.57
2023-03-31,8.51,$5.40,1.58
2022-12-31,8.69,$5.60,1.55
2022-09-30,9.47,$5.20,1.82
2022-06-30,8.19,$4.78,1.71
2022-03-31,9.14,$4.34,2.11
2021-12-31,6.78,$3.04,2.23
2021-09-30,5.76,$2.14,2.69
2021-06-30,6.44,$-0.26,0.0
2021-03-31,4.31,$-1.50,0.0
2020-09-30,3.62,$-1.16,0.0
2020-03-31,2.77,$-0.38,0.0
2019-12-31,8.02,$1.26,6.37
2019-09-30,7.24,$1.34,5.4
2019-06-30,7.73,$1.24,6.24
2019-03-31,7.88,$0.94,8.38
2018-12-31,6.44,$1.10,5.85
2018-09-30,5.94,$0.76,7.82
2018-06-30,4.93,$0.52,9.47
2018-03-31,6.93,$0.09,77.03
2017-12-31,5.05,$-0.01,0.0
2017-09-30,4.92,$0.37,13.3
2017-06-30,3.92,$-0.47,0.0
2017-03-31,4.75,$-0.46,0.0
2016-12-31,4.96,$-0.73,0.0
2016-09-30,4.57,$-2.29,0.0
2016-06-30,3.51,$-1.65,0.0
2016-03-31,2.86,$-1.63,0.0
2015-12-31,2.11,$-1.30,0.0
2015-09-30,2.13,$-1.36,0.0
2015-06-30,4.44,$-0.99,0.0
2015-03-31,2.95,$-0.67,0.0
2014-12-31,3.58,$-0.61,0.0
2014-09-30,6.96,$1.31,5.31
2014-06-30,7.17,$1.34,5.35
2014-03-31,6.22,$1.44,4.32
2013-12-31,6.52,$1.69,3.86
2013-09-30,7.33,$1.85,3.96
2013-06-30,6.34,$2.05,3.09
2013-03-31,7.73,$1.49,5.19
2012-12-31,9.08,$1.70,5.34
2012-09-30,10.7,$1.57,6.81
2012-06-30,8.75,$1.75,5.0
2012-03-31,12.26,$2.90,4.23
2011-12-31,11.32,$3.10,3.65
2011-09-30,10.14,$3.61,2.81
2011-06-30,15.16,$4.13,3.67
2011-03-31,17.89,$4.04,4.43
2010-12-31,16.67,$4.02,4.15
2010-09-30,15.8,$4.14,3.82
2010-06-30,14.86,$3.98,3.73
2010-03-31,19.02,$3.92,4.85
2009-12-31,20.37,$3.54,5.76
