Savers Value Village PE Ratio Historical Data,Savers Value Village PE Ratio Historical Data,Savers Value Village PE Ratio Historical Data,Savers Value Village PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.07,,39.28
2024-12-31,10.25,$0.18,56.94
2024-09-30,10.52,$0.46,22.87
2024-06-30,12.24,$0.23,53.22
2024-03-31,19.28,$0.41,47.02
