VTv Therapeutics PE Ratio Historical Data,VTv Therapeutics PE Ratio Historical Data,VTv Therapeutics PE Ratio Historical Data,VTv Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.61,,0.0
2024-09-30,13.57,$-4.53,0.0
2024-06-30,17.66,$-6.85,0.0
2024-03-31,23.53,$-8.84,0.0
2023-12-31,11.5,$-10.07,0.0
2023-09-30,19.12,$-10.80,0.0
2023-06-30,29.59,$-9.60,0.0
2023-03-31,32.31,$-8.40,0.0
2022-12-31,26.51,$-10.00,0.0
2022-09-30,38.8,$-12.00,0.0
2022-06-30,30.0,$-10.80,0.0
2022-03-31,28.88,$-9.60,0.0
2021-12-31,39.8,$-8.80,0.0
2021-09-30,61.2,$-3.60,0.0
2021-06-30,91.2,$-4.00,0.0
2021-03-31,112.8,$-6.40,0.0
2020-12-31,74.4,$-7.60,0.0
2020-09-30,70.8,$-13.60,0.0
2020-06-30,90.0,$-17.60,0.0
2020-03-31,76.4,$-18.80,0.0
2019-12-31,68.0,$-24.80,0.0
2019-09-30,62.0,$-23.60,0.0
2019-06-30,57.2,$-20.80,0.0
2019-03-31,68.4,$-29.20,0.0
2018-12-31,106.0,$-30.80,0.0
2018-09-30,30.8,$-44.40,0.0
2018-06-30,61.6,$-57.20,0.0
2018-03-31,162.8,$-61.20,0.0
2017-12-31,240.4,$-66.80,0.0
2017-09-30,239.2,$-66.00,0.0
2017-06-30,198.8,$-67.20,0.0
2017-03-31,262.0,$-69.60,0.0
2016-12-31,193.2,$-68.80,0.0
2016-09-30,287.6,$-66.00,0.0
2016-06-30,232.0,$-69.20,0.0
