IBEX PE Ratio Historical Data,IBEX PE Ratio Historical Data,IBEX PE Ratio Historical Data,IBEX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.22,,11.84
2024-12-31,21.49,$2.13,10.09
2024-09-30,19.98,$1.89,10.57
2024-06-30,16.18,$1.85,8.75
2024-03-31,15.43,$1.53,10.08
2023-12-31,19.01,$1.57,12.11
2023-09-30,15.45,$1.34,11.53
2023-06-30,21.23,$1.18,17.99
2023-03-31,24.4,$1.20,20.33
2022-12-31,24.85,$0.94,26.44
2022-09-30,18.57,$1.29,14.4
2022-06-30,16.87,$1.22,13.83
2022-03-31,15.94,$1.17,13.62
2021-12-31,12.89,$0.81,15.91
2021-09-30,17.0,$0.49,34.69
2021-06-30,19.52,$0.12,162.67
