Oil States PE Ratio Historical Data,Oil States PE Ratio Historical Data,Oil States PE Ratio Historical Data,Oil States PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.42,,0.0
2024-12-31,5.06,$-0.18,0.0
2024-09-30,4.6,$-0.33,0.0
2024-06-30,4.44,$-0.03,0.0
2024-03-31,6.16,$-0.04,0.0
2023-12-31,6.79,$0.20,33.95
2023-09-30,8.37,$0.16,52.31
2023-06-30,7.47,$0.12,62.25
2023-03-31,8.33,$0.03,277.67
2022-12-31,7.46,$-0.16,0.0
2022-09-30,3.89,$-0.54,0.0
2022-06-30,5.42,$-0.79,0.0
2022-03-31,6.95,$-0.96,0.0
2021-12-31,4.97,$-1.06,0.0
2021-09-30,6.39,$-1.04,0.0
2021-06-30,7.85,$-1.15,0.0
2021-03-31,6.03,$-1.31,0.0
2020-12-31,5.02,$-7.84,0.0
2020-09-30,2.73,$-10.48,0.0
2020-06-30,4.75,$-10.69,0.0
2020-03-31,2.03,$-10.44,0.0
2019-12-31,16.31,$-3.90,0.0
2019-09-30,13.3,$-1.19,0.0
2019-06-30,18.3,$-0.72,0.0
2019-03-31,16.96,$-0.51,0.0
2018-12-31,14.28,$-0.32,0.0
2018-09-30,33.2,$-0.84,0.0
2018-06-30,32.1,$-1.07,0.0
2018-03-31,26.2,$-1.40,0.0
2017-12-31,28.3,$-1.69,0.0
2017-09-30,25.35,$-1.14,0.0
2017-06-30,27.15,$-1.06,0.0
2017-03-31,33.15,$-1.01,0.0
2016-12-31,39.0,$-0.92,0.0
2016-09-30,31.57,$-0.69,0.0
2016-06-30,32.88,$-0.44,0.0
2016-03-31,31.52,$-0.09,0.0
2015-12-31,27.25,$0.55,49.55
2015-09-30,26.13,$1.62,16.13
2015-06-30,37.23,$2.64,14.1
2015-03-31,39.77,$2.37,16.78
2014-12-31,48.9,$3.31,14.77
2014-09-30,61.9,$3.56,17.39
2014-06-30,64.09,$5.52,11.61
2014-03-31,56.39,$7.05,8.0
2013-12-31,58.17,$7.58,7.67
2013-09-30,59.16,$8.02,7.38
2013-06-30,52.98,$6.88,7.7
2013-03-31,46.65,$7.51,6.21
2012-12-31,40.91,$8.09,5.06
2012-09-30,45.44,$8.03,5.66
2012-06-30,37.86,$7.83,4.83
2012-03-31,44.64,$7.16,6.23
2011-12-31,43.67,$5.86,7.45
2011-09-30,29.12,$4.96,5.87
2011-06-30,45.7,$4.17,10.96
2011-03-31,43.54,$3.54,12.3
2010-12-31,36.65,$3.19,11.49
2010-09-30,26.62,$3.15,8.45
2010-06-30,22.63,$2.80,8.08
2010-03-31,25.93,$0.81,32.01
2009-12-31,22.47,$1.16,19.37
