Mondelez PE Ratio Historical Data,Mondelez PE Ratio Historical Data,Mondelez PE Ratio Historical Data,Mondelez PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,63.95,,18.7
2024-12-31,59.73,$3.42,17.46
2024-09-30,73.67,$2.82,26.12
2024-06-30,65.03,$2.91,22.35
2024-03-31,69.11,$3.15,21.94
2023-12-31,71.08,$3.63,19.58
2023-09-30,67.7,$3.35,20.21
2023-06-30,70.72,$3.02,23.42
2023-03-31,67.24,$2.87,23.43
2022-12-31,63.93,$1.96,32.62
2022-09-30,52.29,$2.25,23.24
2022-06-30,58.82,$2.75,21.39
2022-03-31,59.14,$2.97,19.91
2021-12-31,62.11,$3.04,20.43
2021-09-30,54.21,$3.13,17.32
2021-06-30,57.84,$3.02,19.15
2021-03-31,53.94,$2.64,20.43
2020-12-31,53.6,$2.48,21.61
2020-09-30,52.38,$2.18,24.03
2020-06-30,46.36,$2.38,19.48
2020-03-31,45.15,$2.55,17.71
2019-12-31,49.39,$2.66,18.57
2019-09-30,49.35,$2.72,18.14
2019-06-30,47.83,$2.55,18.76
2019-03-31,44.09,$2.22,19.86
2018-12-31,35.17,$2.21,15.91
2018-09-30,37.5,$2.18,17.2
2018-06-30,35.57,$2.02,17.61
2018-03-31,36.01,$2.12,16.99
2017-12-31,36.74,$1.91,19.23
2017-09-30,34.72,$1.44,24.11
2017-06-30,36.68,$1.14,32.18
2017-03-31,36.43,$1.11,32.82
2016-12-31,37.33,$1.05,35.55
2016-09-30,36.81,$0.53,69.45
2016-06-30,37.99,$4.64,8.19
2016-03-31,33.36,$4.60,7.25
2015-12-31,37.13,$4.44,8.36
2015-09-30,34.5,$5.19,6.65
2015-06-30,33.8,$1.26,26.82
2015-03-31,29.54,$1.37,21.56
2014-12-31,29.61,$1.27,23.31
2014-09-30,27.82,$1.98,14.05
2014-06-30,30.4,$2.02,15.05
2014-03-31,27.82,$2.00,13.91
2013-12-31,28.31,$2.23,12.7
2013-09-30,25.1,$1.53,16.41
2013-06-30,22.69,$1.32,17.19
2013-03-31,24.24,$1.56,15.54
2012-12-31,20.07,$1.70,11.8
2012-09-30,21.27,$1.87,11.38
2012-06-30,19.72,$2.03,9.72
2012-03-31,19.26,$2.00,9.63
2011-12-31,18.79,$1.99,9.44
2011-09-30,16.76,$1.83,9.16
2011-06-30,17.43,$1.74,10.02
2011-03-31,15.39,$1.72,8.95
2010-12-31,15.32,$2.43,6.31
2010-09-30,14.87,$2.60,5.72
2010-06-30,13.37,$2.72,4.91
2010-03-31,14.29,$2.75,5.2
2009-12-31,12.73,$2.04,6.24
