Manhattan Bridge Capital PE Ratio Historical Data,Manhattan Bridge Capital PE Ratio Historical Data,Manhattan Bridge Capital PE Ratio Historical Data,Manhattan Bridge Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.75,,15.54
2024-12-31,5.6,$0.37,15.14
2024-09-30,5.45,$0.49,11.13
2024-06-30,4.92,$0.50,9.85
2024-03-31,4.74,$0.50,9.48
2023-12-31,4.65,$0.48,9.7
2023-09-30,4.29,$0.49,8.75
2023-06-30,4.41,$0.47,9.39
2023-03-31,4.42,$0.47,9.41
2022-12-31,4.55,$0.48,9.49
2022-09-30,4.61,$0.45,10.24
2022-06-30,4.47,$0.44,10.17
2022-03-31,4.97,$0.43,11.55
2021-12-31,4.3,$0.43,10.01
2021-09-30,5.11,$0.43,11.88
2021-06-30,5.78,$0.45,12.85
2021-03-31,4.42,$0.45,9.81
2020-12-31,3.77,$0.44,8.57
2020-09-30,3.03,$0.46,6.58
2020-06-30,3.17,$0.46,6.88
2020-03-31,2.7,$0.46,5.87
2019-12-31,4.2,$0.47,8.93
2019-09-30,4.09,$0.46,8.9
2019-06-30,3.99,$0.47,8.49
2019-03-31,3.89,$0.48,8.1
2018-12-31,3.44,$0.48,7.17
2018-09-30,3.76,$0.47,8.01
2018-06-30,4.37,$0.46,9.5
2018-03-31,3.96,$0.44,8.99
2017-12-31,3.38,$0.42,8.06
2017-09-30,3.21,$0.40,8.04
2017-06-30,3.22,$0.38,8.46
2017-03-31,3.13,$0.38,8.25
2016-12-31,4.04,$0.38,10.62
2016-09-30,3.71,$0.38,9.75
2016-06-30,2.71,$0.37,7.32
2016-03-31,2.17,$0.35,6.21
2015-12-31,2.19,$0.33,6.64
2015-09-30,1.97,$0.31,6.36
2015-06-30,2.07,$0.30,6.9
2015-03-31,1.83,$0.32,5.72
2014-12-31,1.83,$0.29,6.31
2014-09-30,1.24,$0.25,4.97
2014-06-30,1.47,$0.22,6.66
2014-03-31,0.85,$0.16,5.29
2013-12-31,0.74,$0.15,4.92
2013-09-30,0.82,$0.14,5.86
2013-06-30,0.7,$0.13,5.42
2013-03-31,0.57,$0.11,5.2
2012-12-31,0.46,$0.10,4.62
2012-09-30,0.44,$0.08,5.53
2012-06-30,0.43,$0.07,6.18
2012-03-31,0.47,$0.08,5.88
2011-12-31,0.43,$0.07,6.12
2011-09-30,0.5,$0.07,7.21
2011-06-30,0.56,$0.06,9.33
2011-03-31,0.68,$0.08,8.48
2010-12-31,0.54,$0.10,5.38
2010-09-30,0.61,$0.11,5.53
2010-06-30,0.58,$0.12,4.84
2010-03-31,0.57,$0.09,6.36
2009-12-31,0.42,$0.08,5.3
