CDW PE Ratio Historical Data,CDW PE Ratio Historical Data,CDW PE Ratio Historical Data,CDW PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,168.09,,21.09
2024-12-31,174.04,$7.97,21.84
2024-09-30,225.52,$8.18,27.57
2024-06-30,222.47,$8.16,27.26
2024-03-31,253.54,$8.01,31.65
2023-12-31,224.76,$8.10,27.75
2023-09-30,198.92,$8.01,24.83
2023-06-30,180.39,$7.86,22.95
2023-03-31,190.91,$7.98,23.92
2022-12-31,174.43,$8.13,21.46
2022-09-30,151.98,$7.61,19.97
2022-06-30,153.01,$7.35,20.82
2022-03-31,173.18,$7.24,23.92
2021-12-31,197.66,$7.04,28.08
2021-09-30,175.25,$7.12,24.61
2021-06-30,167.81,$6.54,25.66
2021-03-31,158.88,$5.92,26.84
2020-12-31,126.02,$5.45,23.12
2020-09-30,113.96,$5.07,22.48
2020-06-30,110.39,$5.11,21.6
2020-03-31,88.31,$5.13,17.21
2019-12-31,134.85,$4.99,27.02
2019-09-30,116.02,$4.77,24.32
2019-06-30,104.23,$4.60,22.66
2019-03-31,90.23,$4.39,20.55
2018-12-31,75.65,$4.19,18.06
2018-09-30,82.72,$4.40,18.8
2018-06-30,74.98,$4.03,18.6
2018-03-31,65.08,$3.80,17.13
2017-12-31,64.13,$3.33,19.26
2017-09-30,60.72,$2.70,22.49
2017-06-30,57.38,$2.63,21.82
2017-03-31,52.81,$2.44,21.64
2016-12-31,47.54,$2.55,18.64
2016-09-30,41.6,$2.44,17.05
2016-06-30,36.38,$2.56,14.21
2016-03-31,37.57,$2.49,15.09
2015-12-31,37.95,$2.35,16.15
2015-09-30,36.8,$2.13,17.28
2015-06-30,30.82,$1.57,19.63
2015-03-31,33.42,$1.44,23.21
2014-12-31,31.51,$1.42,22.19
2014-09-30,27.76,$1.47,18.88
2014-06-30,28.46,$1.14,24.97
2014-03-31,24.46,$0.96,25.48
