TaskUs PE Ratio Historical Data,TaskUs PE Ratio Historical Data,TaskUs PE Ratio Historical Data,TaskUs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.54,,26.55
2024-12-31,16.94,$0.51,33.22
2024-09-30,12.92,$0.59,21.9
2024-06-30,13.31,$0.55,24.2
2024-03-31,11.65,$0.51,22.84
2023-12-31,13.07,$0.47,27.81
2023-09-30,10.38,$0.45,23.07
2023-06-30,11.32,$0.40,28.3
2023-03-31,14.44,$0.37,39.03
2022-12-31,16.9,$0.39,43.33
2022-09-30,16.1,$0.40,40.25
2022-06-30,16.86,$0.46,36.65
2022-03-31,38.46,$-0.75,0.0
