Scienture Holdings PE Ratio Historical Data,Scienture Holdings PE Ratio Historical Data,Scienture Holdings PE Ratio Historical Data,Scienture Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.69,,0.12
2024-09-30,7.58,$14.13,0.54
2024-06-30,10.14,$13.98,0.73
2024-03-31,9.29,$12.38,0.75
2023-12-31,2.56,$-5.44,0.0
2023-09-30,3.47,$-6.94,0.0
2023-06-30,6.43,$-6.35,0.0
2023-03-31,2.18,$-5.40,0.0
2022-12-31,2.98,$-6.15,0.0
2022-09-30,8.36,$-6.00,0.0
2022-06-30,11.98,$-7.50,0.0
2022-03-31,20.48,$-10.34,0.0
2021-12-31,17.45,$-9.75,0.0
2021-09-30,36.41,$-8.40,0.0
2021-06-30,32.68,$-5.70,0.0
2021-03-31,38.75,$-1.95,0.0
2020-12-31,39.12,$-0.45,0.0
