Aramark PE Ratio Historical Data,Aramark PE Ratio Historical Data,Aramark PE Ratio Historical Data,Aramark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.13,,26.87
2024-12-31,37.31,$1.27,29.38
2024-09-30,38.63,$0.99,39.02
2024-06-30,33.84,$1.31,25.83
2024-03-31,32.26,$2.38,13.55
2023-12-31,27.79,$2.39,11.63
2023-09-30,34.2,$2.56,13.36
2023-06-30,42.3,$2.07,20.44
2023-03-31,35.08,$0.94,37.31
2022-12-31,40.39,$0.87,46.42
2022-09-30,30.4,$0.76,39.99
2022-06-30,29.75,$0.61,48.78
2022-03-31,36.41,$0.58,62.77
2021-12-31,35.58,$0.14,254.12
2021-09-30,31.62,$-0.35,0.0
2021-06-30,35.73,$-1.08,0.0
2021-03-31,36.13,$-2.22,0.0
2020-12-31,36.69,$-2.72,0.0
2020-09-30,25.14,$-1.83,0.0
2020-06-30,21.35,$-0.90,0.0
2020-03-31,18.81,$0.44,42.76
2019-12-31,40.78,$1.36,29.98
2019-09-30,40.85,$1.78,22.95
2019-06-30,33.7,$2.13,15.82
2019-03-31,27.52,$2.09,13.17
2018-12-31,26.88,$2.08,12.93
2018-09-30,39.8,$2.25,17.69
2018-06-30,34.24,$2.01,17.03
2018-03-31,36.41,$1.98,18.39
2017-12-31,39.23,$2.15,18.25
2017-09-30,37.18,$1.49,24.95
2017-06-30,37.42,$1.37,27.32
2017-03-31,33.58,$1.29,26.03
2016-12-31,32.43,$1.28,25.34
2016-09-30,34.43,$1.16,29.68
2016-06-30,30.18,$1.06,28.47
2016-03-31,29.82,$1.02,29.24
2015-12-31,28.95,$0.99,29.24
2015-09-30,26.53,$0.96,27.64
2015-06-30,27.65,$0.91,30.38
2015-03-31,28.16,$0.96,29.33
2014-12-31,27.66,$0.77,35.92
2014-09-30,23.28,$0.63,36.95
