WM Technology PE Ratio Historical Data,WM Technology PE Ratio Historical Data,WM Technology PE Ratio Historical Data,WM Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.26,,25.2
2024-12-31,1.38,$0.05,27.6
2024-09-30,0.87,$-0.03,0.0
2024-06-30,1.04,$-0.08,0.0
2024-03-31,1.33,$-0.08,0.0
2023-12-31,0.72,$-0.12,0.0
2023-09-30,1.32,$-1.23,0.0
2023-06-30,0.84,$-1.27,0.0
2023-03-31,0.85,$-1.15,0.0
2022-12-31,1.01,$-1.31,0.0
2022-09-30,1.61,$0.41,3.93
2022-06-30,3.29,$0.49,6.71
2022-03-31,7.82,$0.19,41.16
2021-12-31,5.98,$0.38,15.74
2021-09-30,14.5,$-0.15,0.0
2021-06-30,17.86,$-0.17,0.0
2021-03-31,18.36,0,0.0
2020-12-31,12.77,0,0.0
2020-09-30,10.13,0,0.0
