Tonix Pharmaceuticals Holding PE Ratio Historical Data,Tonix Pharmaceuticals Holding PE Ratio Historical Data,Tonix Pharmaceuticals Holding PE Ratio Historical Data,Tonix Pharmaceuticals Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.19,,0.0
2024-12-31,0.33,"$-2,526.08",0.0
2024-09-30,0.15,"$-5,273.68",0.0
2024-06-30,0.7,"$-11,097.28",0.0
2024-03-31,5.95,"$-17,731.58",0.0
2023-12-31,12.9,"$-27,539.90",0.0
2023-09-30,17.44,"$-35,974.40",0.0
2023-06-30,50.56,"$-43,905.80",0.0
2023-03-31,118.22,"$-59,704.50",0.0
2022-12-31,77.96,"$-81,218.90",0.0
2022-09-30,106.84,"$-114,693.80",0.0
2022-06-30,316.0,"$-132,813.60",0.0
2022-03-31,1473.28,"$-153,109.60",0.0
2021-12-31,2289.28,"$-165,868.80",0.0
2021-09-30,3847.04,"$-185,007.50",0.0
2021-06-30,7104.0,"$-210,525.80",0.0
2021-03-31,8192.0,"$-312,598.90",0.0
2020-12-31,4320.0,"$-503,985.90",0.0
2020-09-30,5376.0,"$-2,264,747.20",0.0
2020-06-30,3907.2,"$-5,837,306.10",0.0
2020-03-31,4544.0,"$-11,751,167.00",0.0
2019-12-31,7488.0,"$-19,744,767.00",0.0
2019-09-30,25318.4,"$-56,835,580.00",0.0
2019-06-30,87680.0,"$-89,569,145.00",0.0
2019-03-31,154240.0,"$-130,079,414.00",0.0
2018-12-31,140800.0,"$-177,989,980.00",0.0
2018-09-30,378240.0,"$-184,369,550.00",0.0
2018-06-30,2848000.0,"$-197,128,690.00",0.0
2018-03-31,1919680.0,"$-192,025,020.00",0.0
2017-12-31,2208000.0,"$-216,905,330.00",0.0
2017-09-30,2918400.0,"$-172,937,340.00",0.0
2017-06-30,2771200.0,"$-125,664,735.00",0.0
2017-03-31,2988800.0,"$-87,387,330.00",0.0
2016-12-31,3008640.0,"$-11,087,691.00",0.0
2016-09-30,4464000.0,"$-14,290,235.00",0.0
2016-06-30,12736000.0,"$-17,033,450.00",0.0
2016-03-31,15424000.0,"$-18,500,751.00",0.0
2015-12-31,49088000.0,"$-18,309,364.00",0.0
2015-09-30,33856000.0,"$-19,074,912.00",0.0
2015-06-30,57408000.0,"$-19,011,116.00",0.0
2015-03-31,40448000.0,"$-18,245,567.00",0.0
2014-12-31,37376000.0,"$-17,480,018.00",0.0
2014-09-30,43840000.0,"$-16,905,857.00",0.0
2014-06-30,91840000.0,"$-17,926,588.00",0.0
2014-03-31,66624000.0,"$-14,035,051.00",0.0
2013-12-31,65984000.0,"$-16,204,105.00",0.0
2013-09-30,23360000.0,"$-20,988,782.00",0.0
2013-06-30,43136000.0,"$-21,881,921.00",0.0
2013-03-31,46080000.0,"$-21,881,921.00",0.0
